Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
9.282170268,0,1,0,0,0,0,0
9.282310268,0,1,0,1,0,0,0
9.311517584,1,1,0,1,0,0,0
9.311862384,1,0,0,1,0,0,0
9.311960180,1,0,0,1,1,0,0
9.312089824,1,0,0,0,1,0,0
10.292614056,0,0,0,0,1,0,0
10.292958728,0,1,0,0,1,0,0
10.293188604,0,1,1,0,1,0,0
10.293204628,0,1,1,0,0,0,0
10.293376792,0,1,1,0,0,0,1
10.296004800,0,1,1,0,0,0,0
10.296023156,0,1,1,0,0,1,0
10.321545196,1,1,1,0,0,1,0
10.321889840,1,0,1,0,0,1,0
10.321978072,1,0,1,0,1,1,0
10.322107696,1,0,1,1,1,1,0
11.301542968,0,0,1,1,1,1,0
11.301887704,0,1,1,1,1,1,0
11.301995412,0,1,1,1,0,1,0
11.302125032,0,1,1,0,0,1,0
11.331542276,1,1,1,0,0,1,0
11.331886704,1,0,1,0,0,1,0
11.331995872,1,0,1,0,1,1,0
11.332125496,1,0,1,1,1,1,0
12.311570552,0,0,1,1,1,1,0
12.311915412,0,1,1,1,1,1,0
12.312013184,0,1,1,1,0,1,0
12.312142804,0,1,1,0,0,1,0
12.341569812,1,1,1,0,0,1,0
12.341914616,1,0,1,0,0,1,0
12.342013724,1,0,1,0,1,1,0
12.342143348,1,0,1,1,1,1,0
13.321598116,0,0,1,1,1,1,0
13.321942664,0,1,1,1,1,1,0
13.322031000,0,1,1,1,0,1,0
13.322160620,0,1,1,0,0,1,0
13.351597380,1,1,1,0,0,1,0
13.351942304,1,0,1,0,0,1,0
13.352031536,1,0,1,0,1,1,0
13.352161160,1,0,1,1,1,1,0
14.331595164,0,0,1,1,1,1,0
14.331939556,0,1,1,1,1,1,0
14.332048768,0,1,1,1,0,1,0
14.332178388,0,1,1,0,0,1,0
14.361594464,1,1,1,0,0,1,0
14.361938824,1,0,1,0,0,1,0
14.362049308,1,0,1,0,1,1,0
14.362178932,1,0,1,1,1,1,0
15.341622716,0,0,1,1,1,1,0
15.341967388,0,1,1,1,1,1,0
15.342066536,0,1,1,1,0,1,0
15.342196156,0,1,1,0,0,1,0
15.371622004,1,1,1,0,0,1,0
15.371966524,1,0,1,0,0,1,0
15.372067008,1,0,1,0,1,1,0
15.372196632,1,0,1,1,1,1,0
16.351650176,0,0,1,1,1,1,0
16.351994876,0,1,1,1,1,1,0
16.352084276,0,1,1,1,0,1,0
16.352213896,0,1,1,0,0,1,0
16.381649456,1,1,1,0,0,1,0
16.381994256,1,0,1,0,0,1,0
16.382084804,1,0,1,0,1,1,0
16.382214428,1,0,1,1,1,1,0
17.361647128,0,0,1,1,1,1,0
17.361991488,0,1,1,1,1,1,0
17.362102012,0,1,1,1,0,1,0
17.362231632,0,1,1,0,0,1,0
