Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,1,1,0,1,1,1,0
0.726433312,0,1,0,1,1,1,0
0.726777816,0,0,0,1,1,1,0
0.726870196,0,0,0,1,0,1,0
0.726999816,0,0,0,0,0,1,0
0.776421888,1,0,0,0,0,1,0
0.776766200,1,1,0,0,0,1,0
0.776870452,1,1,0,0,1,1,0
0.777000076,1,1,0,1,1,1,0
1.736428832,0,1,0,1,1,1,0
1.736773520,0,0,0,1,1,1,0
1.736876212,0,0,0,1,0,1,0
1.737005832,0,0,0,0,0,1,0
1.738318436,0,0,0,0,0,1,1
1.740942440,0,0,0,0,0,0,1
1.740942504,0,0,0,0,0,0,0
1.786447896,1,0,0,0,0,0,0
1.786792740,1,1,0,0,0,0,0
1.786876304,1,1,0,0,1,0,0
1.787005928,1,1,0,1,1,0,0
2.746424296,0,1,0,1,1,0,0
2.746769108,0,0,0,1,1,0,0
2.746882056,0,0,0,1,0,0,0
2.747011672,0,0,0,0,0,0,0
2.796443388,1,0,0,0,0,0,0
2.796788168,1,1,0,0,0,0,0
2.796882356,1,1,0,0,1,0,0
2.797011980,1,1,0,1,1,0,0
3.756450244,0,1,0,1,1,0,0
3.756794748,0,0,0,1,1,0,0
3.756888004,0,0,0,1,0,0,0
3.757017620,0,0,0,0,0,0,0
3.806438804,1,0,0,0,0,0,0
3.806783432,1,1,0,0,0,0,0
3.806888308,1,1,0,0,1,0,0
3.807017932,1,1,0,1,1,0,0
4.766445656,0,1,0,1,1,0,0
4.766790156,0,0,0,1,1,0,0
4.766893912,0,0,0,1,0,0,0
4.767023532,0,0,0,0,0,0,0
4.816464716,1,0,0,0,0,0,0
4.816809280,1,1,0,0,0,0,0
4.816894156,1,1,0,0,1,0,0
4.817023780,1,1,0,1,1,0,0
5.776471520,0,1,0,1,1,0,0
5.776815868,0,0,0,1,1,0,0
5.776899812,0,0,0,1,0,0,0
5.777029428,0,0,0,0,0,0,0
5.826460136,1,0,0,0,0,0,0
5.826804980,1,1,0,0,0,0,0
5.826900044,1,1,0,0,1,0,0
5.827029668,1,1,0,1,1,0,0
6.786466900,0,1,0,1,1,0,0
6.786811432,0,0,0,1,1,0,0
6.786905628,0,0,0,1,0,0,0
6.787035248,0,0,0,0,0,0,0
6.836455480,1,0,0,0,0,0,0
6.836800200,1,1,0,0,0,0,0
6.836905888,1,1,0,0,1,0,0
6.837035512,1,1,0,1,1,0,0
7.796462212,0,1,0,1,1,0,0
7.796806528,0,0,0,1,1,0,0
7.796911472,0,0,0,1,0,0,0
7.797041088,0,0,0,0,0,0,0
7.846481320,1,0,0,0,0,0,0
7.846826164,1,1,0,0,0,0,0
7.846911728,1,1,0,0,1,0,0
7.847041352,1,1,0,1,1,0,0
8.806487984,0,1,0,1,1,0,0
8.806832672,0,0,0,1,1,0,0
8.806917240,0,0,0,1,0,0,0
8.807046860,0,0,0,0,0,0,0
8.837555408,1,0,0,0,0,0,0
8.837900220,1,1,0,0,0,0,0
8.838128468,1,1,1,0,0,0,0
8.838144468,1,1,1,0,1,0,0
8.838316656,1,1,1,0,1,0,1
8.839056668,1,1,1,0,1,0,0
8.839075028,1,1,1,0,1,1,0
8.839585488,1,1,1,0,0,1,0
8.839715088,1,1,1,1,0,1,0
8.840127712,1,1,1,1,0,1,1
8.840735852,1,1,1,1,0,0,1
8.840735912,1,1,1,1,0,0,0
8.856476632,0,1,1,1,0,0,0
8.856821224,0,0,1,1,0,0,0
8.856917520,0,0,1,1,1,0,0
8.857047164,0,0,1,0,1,0,0
9.816483312,1,0,1,0,1,0,0
9.816827968,1,1,1,0,1,0,0
9.816923052,1,1,1,0,0,0,0
9.817052656,1,1,1,1,0,0,0
9.866471864,0,1,1,1,0,0,0
9.866816644,0,0,1,1,0,0,0
9.866923380,0,0,1,1,1,0,0
9.867053020,0,0,1,0,1,0,0
10.826478512,1,0,1,0,1,0,0
10.826823172,1,1,1,0,1,0,0
10.826928820,1,1,1,0,0,0,0
10.827058420,1,1,1,1,0,0,0
10.876497636,0,1,1,1,0,0,0
10.876842356,0,0,1,1,0,0,0
10.876929152,0,0,1,1,1,0,0
10.877058796,0,0,1,0,1,0,0
11.836504272,1,0,1,0,1,0,0
11.836848460,1,1,1,0,1,0,0
11.836934612,1,1,1,0,0,0,0
11.837064212,1,1,1,1,0,0,0
11.838376956,1,1,1,1,0,0,1
11.841000944,1,1,1,1,0,1,1
11.841001024,1,1,1,1,0,1,0
11.886492904,0,1,1,1,0,1,0
11.886837812,0,0,1,1,0,1,0
11.886934860,0,0,1,1,1,1,0
11.887064500,0,0,1,0,1,1,0
12.846499428,1,0,1,0,1,1,0
12.846843960,1,1,1,0,1,1,0
12.846940296,1,1,1,0,0,1,0
12.847069896,1,1,1,1,0,1,0
12.896488044,0,1,1,1,0,1,0
12.896833012,0,0,1,1,0,1,0
12.896940560,0,0,1,1,1,1,0
12.897070200,0,0,1,0,1,1,0
13.856494620,1,0,1,0,1,1,0
13.856839184,1,1,1,0,1,1,0
13.856945956,1,1,1,0,0,1,0
13.857075556,1,1,1,1,0,1,0
13.906513768,0,1,1,1,0,1,0
13.906858672,0,0,1,1,0,1,0
13.906946220,0,0,1,1,1,1,0
13.907075860,0,0,1,0,1,1,0
14.866520324,1,0,1,0,1,1,0
14.866865072,1,1,1,0,1,1,0
14.866951660,1,1,1,0,0,1,0
14.867081260,1,1,1,1,0,1,0
14.916508936,0,1,1,1,0,1,0
14.916853440,0,0,1,1,0,1,0
14.916951920,0,0,1,1,1,1,0
14.917081564,0,0,1,0,1,1,0
15.876515488,1,0,1,0,1,1,0
15.876860272,1,1,1,0,1,1,0
15.876957296,1,1,1,0,0,1,0
15.877086896,1,1,1,1,0,1,0
15.926504072,0,1,1,1,0,1,0
15.926848764,0,0,1,1,0,1,0
15.926957556,0,0,1,1,1,1,0
15.927087200,0,0,1,0,1,1,0
16.886510588,1,0,1,0,1,1,0
16.886855620,1,1,1,0,1,1,0
16.886962956,1,1,1,0,0,1,0
16.887092560,1,1,1,1,0,1,0
16.936529720,0,1,1,1,0,1,0
16.936874596,0,0,1,1,0,1,0
16.936963204,0,0,1,1,1,1,0
16.937092848,0,0,1,0,1,1,0
17.896536228,1,0,1,0,1,1,0
17.896880388,1,1,1,0,1,1,0
17.896968596,1,1,1,0,0,1,0
17.897098200,1,1,1,1,0,1,0
17.946524820,0,1,1,1,0,1,0
17.946869540,0,0,1,1,0,1,0
17.946968836,0,0,1,1,1,1,0
17.947098476,0,0,1,0,1,1,0
18.906531304,1,0,1,0,1,1,0
18.906876024,1,1,1,0,1,1,0
18.906974236,1,1,1,0,0,1,0
18.907103836,1,1,1,1,0,1,0
18.937598764,0,1,1,1,0,1,0
18.937943736,0,0,1,1,0,1,0
18.938185484,0,0,0,1,0,1,0
18.938201468,0,0,0,1,1,1,0
18.938373656,0,0,0,1,1,1,1
18.939113668,0,0,0,1,1,1,0
18.939132044,0,0,0,1,1,0,0
18.939642548,0,0,0,1,0,0,0
18.939772168,0,0,0,0,0,0,0
18.940184772,0,0,0,0,0,0,1
18.940792892,0,0,0,0,0,1,1
18.940792972,0,0,0,0,0,1,0
18.956519920,1,0,0,0,0,1,0
18.956864764,1,1,0,0,0,1,0
18.956974516,1,1,0,0,1,1,0
18.957104140,1,1,0,1,1,1,0
19.916526472,0,1,0,1,1,1,0
19.916871036,0,0,0,1,1,1,0
19.916979856,0,0,0,1,0,1,0
19.917109476,0,0,0,0,0,1,0
19.966545588,1,0,0,0,0,1,0
19.966890400,1,1,0,0,0,1,0
19.966980088,1,1,0,0,1,1,0
19.967109712,1,1,0,1,1,1,0
20.926552056,0,1,0,1,1,1,0
20.926896496,0,0,0,1,1,1,0
20.926985440,0,0,0,1,0,1,0
20.927115060,0,0,0,0,0,1,0
20.976540672,1,0,0,0,0,1,0
20.976885548,1,1,0,0,0,1,0
20.976985676,1,1,0,0,1,1,0
20.977115300,1,1,0,1,1,1,0
21.936547112,0,1,0,1,1,1,0
21.936891896,0,0,0,1,1,1,0
21.936991028,0,0,0,1,0,1,0
21.937120644,0,0,0,0,0,1,0
21.938433496,0,0,0,0,0,1,1
21.941057500,0,0,0,0,0,0,1
21.941057564,0,0,0,0,0,0,0
21.986535728,1,0,0,0,0,0,0
21.986880384,1,1,0,0,0,0,0
21.986991384,1,1,0,0,1,0,0
21.987121008,1,1,0,1,1,0,0
22.946542220,0,1,0,1,1,0,0
22.946886880,0,0,0,1,1,0,0
22.946996696,0,0,0,1,0,0,0
22.947126316,0,0,0,0,0,0,0
22.996561276,1,0,0,0,0,0,0
22.996905528,1,1,0,0,0,0,0
22.996996964,1,1,0,0,1,0,0
22.997126588,1,1,0,1,1,0,0
23.956567764,0,1,0,1,1,0,0
23.956912360,0,0,0,1,1,0,0
23.957002304,0,0,0,1,0,0,0
23.957131924,0,0,0,0,0,0,0
24.006556328,1,0,0,0,0,0,0
24.006900892,1,1,0,0,0,0,0
24.007002516,1,1,0,0,1,0,0
24.007132144,1,1,0,1,1,0,0
24.966562828,0,1,0,1,1,0,0
24.966907204,0,0,0,1,1,0,0
24.967007836,0,0,0,1,0,0,0
24.967137456,0,0,0,0,0,0,0
25.016551364,1,0,0,0,0,0,0
25.016895648,1,1,0,0,0,0,0
25.017008084,1,1,0,0,1,0,0
25.017137712,1,1,0,1,1,0,0
25.976557812,0,1,0,1,1,0,0
25.976902280,0,0,0,1,1,0,0
25.977013352,0,0,0,1,0,0,0
25.977142968,0,0,0,0,0,0,0
26.026576916,1,0,0,0,0,0,0
26.026921480,1,1,0,0,0,0,0
26.027013604,1,1,0,0,1,0,0
26.027143228,1,1,0,1,1,0,0
26.986583328,0,1,0,1,1,0,0
26.986927956,0,0,0,1,1,0,0
26.987018900,0,0,0,1,0,0,0
26.987148520,0,0,0,0,0,0,0
27.036571940,1,0,0,0,0,0,0
27.036916628,1,1,0,0,0,0,0
27.037019064,1,1,0,0,1,0,0
27.037148688,1,1,0,1,1,0,0
27.996578356,0,1,0,1,1,0,0
27.996923108,0,0,0,1,1,0,0
27.997024364,0,0,0,1,0,0,0
27.997153984,0,0,0,0,0,0,0
28.046566932,1,0,0,0,0,0,0
28.046911464,1,1,0,0,0,0,0
28.047024652,1,1,0,0,1,0,0
28.047154276,1,1,0,1,1,0,0
29.006573372,0,1,0,1,1,0,0
29.006917936,0,0,0,1,1,0,0
29.007029944,0,0,0,1,0,0,0
29.007159560,0,0,0,0,0,0,0
29.037671208,1,0,0,0,0,0,0
29.038016052,1,1,0,0,0,0,0
29.038241176,1,1,1,0,0,0,0
29.038257180,1,1,1,0,1,0,0
29.038429364,1,1,1,0,1,0,1
29.039169376,1,1,1,0,1,0,0
29.039187736,1,1,1,0,1,1,0
29.039698196,1,1,1,0,0,1,0
29.039827796,1,1,1,1,0,1,0
29.040240420,1,1,1,1,0,1,1
29.040848556,1,1,1,1,0,0,1
29.040848620,1,1,1,1,0,0,0
29.056592484,0,1,1,1,0,0,0
