Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
5.976577204,0,1,0,0,0,0,0
5.976717016,0,1,0,1,0,0,0
5.978351900,0,0,0,1,0,0,0
5.978491712,0,0,0,0,0,0,0
10.022131364,0,0,0,0,0,0,1
10.024755348,0,0,0,0,0,1,1
10.024755428,0,0,0,0,0,1,0
10.025237596,0,1,0,0,0,1,0
10.025377284,0,1,0,1,0,1,0
19.112172364,0,1,0,1,0,1,1
19.114796364,0,1,0,1,0,0,1
19.114796428,0,1,0,1,0,0,0
19.115292896,0,0,0,1,0,0,0
19.115432768,0,0,0,0,0,0,0
19.160453784,1,0,0,0,0,0,0
19.160798192,1,1,0,0,0,0,0
19.160902880,1,1,0,0,1,0,0
19.161032504,1,1,0,1,1,0,0
20.120459264,0,1,0,1,1,0,0
20.120803764,0,0,0,1,1,0,0
20.120916832,0,0,0,1,0,0,0
20.121046452,0,0,0,0,0,0,0
20.170478224,1,0,0,0,0,0,0
20.170822664,1,1,0,0,0,0,0
20.170917536,1,1,0,0,1,0,0
20.171047160,1,1,0,1,1,0,0
21.130483656,0,1,0,1,1,0,0
21.130828284,0,0,0,1,1,0,0
21.130931536,0,0,0,1,0,0,0
21.131061156,0,0,0,0,0,0,0
21.180502736,1,0,0,0,0,0,0
21.180847268,1,1,0,0,0,0,0
21.180932332,1,1,0,0,1,0,0
21.181061956,1,1,0,1,1,0,0
22.140508220,0,1,0,1,1,0,0
22.140852940,0,0,0,1,1,0,0
22.140946256,0,0,0,1,0,0,0
22.141075876,0,0,0,0,0,0,0
22.190496676,1,0,0,0,0,0,0
22.190841304,1,1,0,0,0,0,0
22.190946988,1,1,0,0,1,0,0
22.191076612,1,1,0,1,1,0,0
23.150532680,0,1,0,1,1,0,0
23.150876996,0,0,0,1,1,0,0
23.150961000,0,0,0,1,0,0,0
23.151090620,0,0,0,0,0,0,0
23.200521176,1,0,0,0,0,0,0
23.200865676,1,1,0,0,0,0,0
23.200961676,1,1,0,0,1,0,0
23.201091300,1,1,0,1,1,0,0
24.160526596,0,1,0,1,1,0,0
24.160870972,0,0,0,1,1,0,0
24.160975664,0,0,0,1,0,0,0
24.161105284,0,0,0,0,0,0,0
24.210545644,1,0,0,0,0,0,0
24.210890392,1,1,0,0,0,0,0
24.210976392,1,1,0,0,1,0,0
24.211106016,1,1,0,1,1,0,0
25.170551104,0,1,0,1,1,0,0
25.170895916,0,0,0,1,1,0,0
25.170990360,0,0,0,1,0,0,0
25.171119980,0,0,0,0,0,0,0
25.220539596,1,0,0,0,0,0,0
25.220884564,1,1,0,0,0,0,0
25.220991064,1,1,0,0,1,0,0
25.221120688,1,1,0,1,1,0,0
26.180575528,0,1,0,1,1,0,0
26.180920124,0,0,0,1,1,0,0
26.181005068,0,0,0,1,0,0,0
26.181134688,0,0,0,0,0,0,0
26.211642864,1,0,0,0,0,0,0
26.211987648,1,1,0,0,0,0,0
26.212216584,1,1,1,0,0,0,0
26.212232584,1,1,1,0,1,0,0
26.212404772,1,1,1,0,1,0,1
26.213144784,1,1,1,0,1,0,0
26.213163140,1,1,1,0,1,1,0
26.213673660,1,1,1,0,0,1,0
26.213803264,1,1,1,1,0,1,0
26.214215884,1,1,1,1,0,1,1
26.214824024,1,1,1,1,0,0,1
26.214824084,1,1,1,1,0,0,0
26.230319928,0,1,1,1,0,0,0
26.230664428,0,0,1,1,0,0,0
26.230761724,0,0,1,1,1,0,0
26.230891368,0,0,1,0,1,0,0
27.190325300,1,0,1,0,1,0,0
27.190669864,1,1,1,0,1,0,0
27.190775764,1,1,1,0,0,0,0
27.190905364,1,1,1,1,0,0,0
27.240344368,0,1,1,1,0,0,0
27.240689056,0,0,1,1,0,0,0
27.240776476,0,0,1,1,1,0,0
27.240906116,0,0,1,0,1,0,0
28.200349720,1,0,1,0,1,0,0
28.200694348,1,1,1,0,1,0,0
28.200790432,1,1,1,0,0,0,0
28.200920032,1,1,1,1,0,0,0
28.250338260,0,1,1,1,0,0,0
28.250682824,0,0,1,1,0,0,0
28.250791120,0,0,1,1,1,0,0
28.250920764,0,0,1,0,1,0,0
29.210374156,1,0,1,0,1,0,0
29.210718720,1,1,1,0,1,0,0
29.210805052,1,1,1,0,0,0,0
29.210934656,1,1,1,1,0,0,0
29.212217024,1,1,1,1,0,0,1
29.214841008,1,1,1,1,0,1,1
29.214841088,1,1,1,1,0,1,0
29.260332176,0,1,1,1,0,1,0
29.260676580,0,0,1,1,0,1,0
29.260775376,0,0,1,1,1,1,0
29.260905020,0,0,1,0,1,1,0
30.220337572,1,0,1,0,1,1,0
30.220682196,1,1,1,0,1,1,0
30.220789280,1,1,1,0,0,1,0
30.220918884,1,1,1,1,0,1,0
30.270356584,0,1,1,1,0,1,0
30.270701400,0,0,1,1,0,1,0
30.270790008,0,0,1,1,1,1,0
30.270919648,0,0,1,0,1,1,0
31.230361956,1,0,1,0,1,1,0
31.230706396,1,1,1,0,1,1,0
31.230803980,1,1,1,0,0,1,0
31.230933584,1,1,1,1,0,1,0
31.280350480,0,1,1,1,0,1,0
31.280695296,0,0,1,1,0,1,0
31.280804652,0,0,1,1,1,1,0
31.280934296,0,0,1,0,1,1,0
32.240386356,1,0,1,0,1,1,0
32.240731016,1,1,1,0,1,1,0
32.240818600,1,1,1,0,0,1,0
32.240948200,1,1,1,1,0,1,0
32.290374888,0,1,1,1,0,1,0
32.290719080,0,0,1,1,0,1,0
32.290819312,0,0,1,1,1,1,0
32.290948952,0,0,1,0,1,1,0
33.250380244,1,0,1,0,1,1,0
33.250724932,1,1,1,0,1,1,0
33.250833204,1,1,1,0,0,1,0
33.250962804,1,1,1,1,0,1,0
33.300399348,0,1,1,1,0,1,0
33.300743912,0,0,1,1,0,1,0
33.300833892,0,0,1,1,1,1,0
33.300963536,0,0,1,0,1,1,0
34.260404620,1,0,1,0,1,1,0
34.260748996,1,1,1,0,1,1,0
34.260847832,1,1,1,0,0,1,0
34.260977432,1,1,1,1,0,1,0
34.310393224,0,1,1,1,0,1,0
34.310737508,0,0,1,1,0,1,0
34.310848552,0,0,1,1,1,1,0
34.310978196,0,0,1,0,1,1,0
35.270429044,1,0,1,0,1,1,0
35.270773700,1,1,1,0,1,1,0
35.270862532,1,1,1,0,0,1,0
35.270992136,1,1,1,1,0,1,0
35.320417552,0,1,1,1,0,1,0
35.320762052,0,0,1,1,0,1,0
35.320863224,0,0,1,1,1,1,0
35.320992864,0,0,1,0,1,1,0
36.280422924,1,0,1,0,1,1,0
36.280767552,1,1,1,0,1,1,0
36.280877136,1,1,1,0,0,1,0
36.281006736,1,1,1,1,0,1,0
36.311520780,0,1,1,1,0,1,0
36.311865344,0,0,1,1,0,1,0
36.312088720,0,0,0,1,0,1,0
36.312104700,0,0,0,1,1,1,0
36.312276888,0,0,0,1,1,1,1
36.313016900,0,0,0,1,1,1,0
36.313035276,0,0,0,1,1,0,0
36.313545652,0,0,0,1,0,0,0
36.313675272,0,0,0,0,0,0,0
36.314087876,0,0,0,0,0,0,1
36.314695996,0,0,0,0,0,1,1
36.314696076,0,0,0,0,0,1,0
36.330350412,1,0,0,0,0,1,0
36.330694572,1,1,0,0,0,1,0
