Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 8,Channel 9
0.000000000,0,0,0,0,0,0,0
5.859307736,0,1,0,0,0,0,0
5.859447672,0,1,0,1,0,0,0
5.888658676,1,1,0,1,0,0,0
5.889003256,1,0,0,1,0,0,0
5.889101300,1,0,0,1,1,0,0
5.889230944,1,0,0,0,1,0,0
6.869752712,0,0,0,0,1,0,0
6.870097164,0,1,0,0,1,0,0
6.870327352,0,1,1,0,1,0,0
6.870343372,0,1,1,0,0,0,0
6.870515536,0,1,1,0,0,0,1
6.873143540,0,1,1,0,0,0,0
6.873161900,0,1,1,0,0,1,0
6.898683812,1,1,1,0,0,1,0
6.899028424,1,0,1,0,0,1,0
6.899116720,1,0,1,0,1,1,0
6.899246344,1,0,1,1,1,1,0
7.878679212,0,0,1,1,1,1,0
7.879023852,0,1,1,1,1,1,0
7.879131688,0,1,1,1,0,1,0
7.879261308,0,1,1,0,0,1,0
7.908678420,1,1,1,0,0,1,0
7.909023064,1,0,1,0,0,1,0
7.909132048,1,0,1,0,1,1,0
7.909261672,1,0,1,1,1,1,0
8.888704348,0,0,1,1,1,1,0
8.889048924,0,1,1,1,1,1,0
8.889147008,0,1,1,1,0,1,0
8.889276628,0,1,1,0,0,1,0
8.918703600,1,1,1,0,0,1,0
8.919047900,1,0,1,0,0,1,0
8.919147444,1,0,1,0,1,1,0
8.919277072,1,0,1,1,1,1,0
9.898729476,0,0,1,1,1,1,0
9.899074052,0,1,1,1,1,1,0
9.899162388,0,1,1,1,0,1,0
9.899292008,0,1,1,0,0,1,0
9.928728684,1,1,1,0,0,1,0
9.929073076,1,0,1,0,0,1,0
9.929162808,1,0,1,0,1,1,0
9.929292436,1,0,1,1,1,1,0
10.908724024,0,0,1,1,1,1,0
10.909068632,0,1,1,1,1,1,0
10.909177716,0,1,1,1,0,1,0
10.909307336,0,1,1,0,0,1,0
10.938723232,1,1,1,0,0,1,0
10.939068064,1,0,1,0,0,1,0
10.939178172,1,0,1,0,1,1,0
10.939307796,1,0,1,1,1,1,0
11.918749156,0,0,1,1,1,1,0
11.919093544,0,1,1,1,1,1,0
11.919193004,0,1,1,1,0,1,0
11.919322624,0,1,1,0,0,1,0
11.948748380,1,1,1,0,0,1,0
11.949093020,1,0,1,0,0,1,0
11.949193380,1,0,1,0,1,1,0
11.949323004,1,0,1,1,1,1,0
12.928774156,0,0,1,1,1,1,0
12.929118952,0,1,1,1,1,1,0
12.929208352,0,1,1,1,0,1,0
12.929337972,0,1,1,0,0,1,0
12.958773400,1,1,1,0,0,1,0
12.959117732,1,0,1,0,0,1,0
12.959208712,1,0,1,0,1,1,0
12.959338340,1,0,1,1,1,1,0
13.938768748,0,0,1,1,1,1,0
13.939113324,0,1,1,1,1,1,0
13.939223596,0,1,1,1,0,1,0
13.939353216,0,1,1,0,0,1,0
13.968767936,1,1,1,0,0,1,0
13.969112608,1,0,1,0,0,1,0
13.969224028,1,0,1,0,1,1,0
13.969353652,1,0,1,1,1,1,0
14.948793696,0,0,1,1,1,1,0
14.949138396,0,1,1,1,1,1,0
14.949238792,0,1,1,1,0,1,0
14.949368412,0,1,1,0,0,1,0
14.978793012,1,1,1,0,0,1,0
14.979137652,1,0,1,0,0,1,0
14.979239260,1,0,1,0,1,1,0
14.979368884,1,0,1,1,1,1,0
15.959886928,0,0,1,1,1,1,0
15.960231352,0,1,1,1,1,1,0
15.960465244,0,1,0,1,1,1,0
15.960481248,0,1,0,1,0,1,0
15.960653412,0,1,0,1,0,1,1
15.963281416,0,1,0,1,0,1,0
15.963299788,0,1,0,1,0,0,0
15.988817976,1,1,0,1,0,0,0
15.989162744,1,0,0,1,0,0,0
15.989254600,1,0,0,1,1,0,0
15.989384244,1,0,0,0,1,0,0
16.968813248,0,0,0,0,1,0,0
16.969157920,0,1,0,0,1,0,0
16.969269316,0,1,0,0,0,0,0
16.969398920,0,1,0,1,0,0,0
16.998812488,1,1,0,1,0,0,0
16.999157288,1,0,0,1,0,0,0
16.999269832,1,0,0,1,1,0,0
16.999399476,1,0,0,0,1,0,0
17.978838264,0,0,0,0,1,0,0
17.979182780,0,1,0,0,1,0,0
17.979284552,0,1,0,0,0,0,0
17.979414156,0,1,0,1,0,0,0
18.008837456,1,1,0,1,0,0,0
18.009182384,1,0,0,1,0,0,0
18.009285052,1,0,0,1,1,0,0
18.009414692,1,0,0,0,1,0,0
18.988863204,0,0,0,0,1,0,0
18.989207468,0,1,0,0,1,0,0
18.989299804,0,1,0,0,0,0,0
18.989429404,0,1,0,1,0,0,0
19.018862464,1,1,0,1,0,0,0
19.019206952,1,0,0,1,0,0,0
19.019300248,1,0,0,1,1,0,0
19.019429888,1,0,0,0,1,0,0
19.998857664,0,0,0,0,1,0,0
19.999202460,0,1,0,0,1,0,0
19.999315048,0,1,0,0,0,0,0
19.999444648,0,1,0,1,0,0,0
20.028887392,1,1,0,1,0,0,0
20.029232192,1,0,0,1,0,0,0
20.029315424,1,0,0,1,1,0,0
20.029445064,1,0,0,0,1,0,0
21.008882632,0,0,0,0,1,0,0
21.009227364,0,1,0,0,1,0,0
21.009330200,0,1,0,0,0,0,0
21.009459800,0,1,0,1,0,0,0
21.038881860,1,1,0,1,0,0,0
21.039226224,1,0,0,1,0,0,0
21.039330644,1,0,0,1,1,0,0
21.039460284,1,0,0,0,1,0,0
22.018907628,0,0,0,0,1,0,0
22.019252080,0,1,0,0,1,0,0
22.019345352,0,1,0,0,0,0,0
22.019474952,0,1,0,1,0,0,0
22.048906788,1,1,0,1,0,0,0
22.049251620,1,0,0,1,0,0,0
22.049345788,1,0,0,1,1,0,0
22.049475432,1,0,0,0,1,0,0
23.028932504,0,0,0,0,1,0,0
23.029277396,0,1,0,0,1,0,0
23.029360540,0,1,0,0,0,0,0
23.029490144,0,1,0,1,0,0,0
23.058931772,1,1,0,1,0,0,0
23.059276384,1,0,0,1,0,0,0
23.059360992,1,0,0,1,1,0,0
23.059490636,1,0,0,0,1,0,0
23.060663112,1,0,0,0,1,0,1
23.061399232,1,0,0,0,1,1,1
23.061399312,1,0,0,0,1,1,0
23.062086188,1,0,0,0,0,1,0
23.062215788,1,0,1,0,0,1,0
23.062387916,1,0,1,0,0,1,1
23.062999928,1,0,1,0,0,1,0
23.063018304,1,0,1,0,0,0,0
24.038926888,0,0,1,0,0,0,0
24.039271464,0,1,1,0,0,0,0
24.039375652,0,1,1,0,1,0,0
24.039505276,0,1,1,1,1,0,0
24.068926136,1,1,1,1,1,0,0
24.069271124,1,0,1,1,1,0,0
24.069376188,1,0,1,1,0,0,0
24.069505808,1,0,1,0,0,0,0
25.048951880,0,0,1,0,0,0,0
25.049296112,0,1,1,0,0,0,0
25.049390864,0,1,1,0,1,0,0
25.049520488,0,1,1,1,1,0,0
25.078951068,1,1,1,1,1,0,0
25.079295524,1,0,1,1,1,0,0
25.079391276,1,0,1,1,0,0,0
25.079520896,1,0,1,0,0,0,0
26.060044920,0,0,1,0,0,0,0
26.060389152,0,1,1,0,0,0,0
26.060617108,0,1,0,0,0,0,0
26.060633092,0,1,0,0,1,0,0
26.060805276,0,1,0,0,1,0,1
26.063433280,0,1,0,0,1,0,0
