time_s,node,asn,src,err_ns
30.699082427,child8,3030,frame,-55969
30.714569549,child9,3030,frame,-74361
30.723990546,child10,3030,frame,-101709
30.725187713,child1,3030,frame,-34371
30.736388377,child2,3030,frame,-44452
30.745231583,child3,3030,frame,-38827
30.754496122,child4,3030,frame,-64861
30.767121077,child5,3030,frame,-61719
30.775918659,child6,3030,frame,-1461
30.793221279,child7,3030,frame,-48969
40.799056616,child7,4040,frame,-375
40.805581781,child8,4040,frame,-125
40.819512695,child9,4040,frame,-80
40.82629673500001,child1,4040,frame,-80
40.829826609,child10,4040,frame,-250
40.841135981,child2,4040,frame,46
40.850137896,child3,4040,frame,2
40.857577684999995,child4,4040,frame,-126
40.872156931999996,child5,4040,frame,-80
40.882955888,child6,4040,frame,-206
50.907843719999995,child8,5050,frame,19
50.907904886,child7,5050,frame,161
50.925450131999995,child1,5050,frame,165
50.927196298000005,child9,5050,frame,137
50.933502047000005,child10,5050,frame,35
50.949249543,child2,5050,frame,58
50.954272375,child3,5050,frame,141
50.961060415,child4,5050,frame,161
50.978819327,child5,5050,frame,183
50.985509617000005,child6,5050,frame,149
61.009617783,child8,6060,frame,-95
61.012999741,child7,6060,frame,-98
61.030590069999995,child1,6060,frame,-203
61.035944485,child10,6060,frame,-84
61.038349068,child9,6060,frame,-113
61.05552073,child2,6060,frame,-211
61.061011937,child3,6060,frame,-217
61.068307727,child4,6060,frame,-80
61.087978597,child5,6060,frame,-191
61.090245389,child6,6060,frame,-339
71.115555012,child7,7070,frame,6
71.115701637,child8,7070,frame,161
71.136030091,child1,7070,frame,161
71.142009964,child10,7070,frame,0
71.142814839,child9,7070,frame,-67
71.16108220999999,child2,7070,frame,30
71.166288292,child3,7070,frame,26
71.174641831,child4,7070,frame,20
71.191628619,child6,7070,frame,59
71.19428216,child5,7070,frame,-80
81.22150386700001,child8,8080,frame,-121
81.223675033,child7,8080,frame,6
81.239187279,child1,8080,frame,4
81.246662694,child10,8080,frame,1
81.249352068,child9,8080,frame,9
81.269746646,child2,8080,frame,5
81.270650771,child3,8080,frame,20
81.281850602,child4,8080,frame,123
81.292794141,child6,8080,frame,2
81.29721159799999,child5,8080,frame,124
91.300508727,child6,9090,frame,-78
91.303070643,child5,9090,frame,-67
91.323971555,child8,9090,frame,-83
91.327870387,child7,9090,frame,-74
91.343841133,child1,9090,frame,-122
91.35171500599999,child10,9090,frame,-125
91.353255506,child9,9090,frame,-117
91.372691126,child2,9090,frame,-227
91.374890042,child3,9090,frame,-108
91.384876957,child4,9090,frame,-209
101.404711207,child6,10100,frame,58
101.40706149799999,child5,10100,frame,-75
101.430183076,child8,10100,frame,162
101.433684533,child7,10100,frame,16
101.44565869700001,child1,10100,frame,21
101.45810956899999,child9,10100,frame,24
101.458468569,child10,10100,frame,18
101.47909060500001,child2,10100,frame,180
101.47991823,child3,10100,frame,139
101.487959145,child4,10100,frame,133
110.49021618600001,child4,11009,frame,19
110.508739057,child5,11009,frame,24
110.513461514,child6,11009,frame,-92
110.53414192599999,child8,11009,frame,-72
110.53875121600001,child7,11009,frame,35
110.549721714,child1,11009,frame,32
110.56289916899999,child10,11009,frame,34
110.566899626,child9,11009,frame,-110
110.583515955,child2,11009,frame,-103
110.583697539,child3,11009,frame,-101
120.59468883299999,child4,12019,frame,54
120.61360312,child5,12019,frame,-126
120.618076285,child6,12019,frame,141
120.638975447,child8,12019,frame,51
120.64328961199999,child7,12019,frame,29
120.65420677600001,child1,12019,frame,17
120.668414148,child10,12019,frame,31
120.670442814,child9,12019,frame,167
120.686830393,child3,12019,frame,27
120.687743101,child2,12019,frame,48
130.691554689,child2,13029,frame,-74
130.698182021,child4,13029,frame,-91
130.717505891,child5,13029,frame,11
130.720697848,child6,13029,frame,-195
130.74589888399998,child8,13029,frame,-104
130.750643549,child7,13029,frame,-202
130.754148924,child1,13029,frame,-119
130.772213419,child10,13029,frame,-126
130.776859376,child9,13029,frame,-356
130.789991373,child3,13029,frame,-224
140.79462879399998,child2,14039,frame,11
140.797914835,child3,14039,frame,135
140.804358166,child4,14039,frame,58
140.82176262,child5,14039,frame,34
140.822697245,child6,14039,frame,40
140.854053446,child8,14039,frame,36
140.854763446,child1,14039,frame,38
140.85876602800002,child7,14039,frame,169
140.875869315,child10,14039,frame,40
140.880278689,child9,14039,frame,253
150.902055481,child2,15049,frame,-82
150.90535739700002,child3,15049,frame,-85
150.908103688,child4,15049,frame,41
150.923394642,child5,15049,frame,18
150.926244725,child6,15049,frame,9
150.960197133,child8,15049,frame,-85
150.961527383,child1,15049,frame,-111
150.963883632,child7,15049,frame,-107
150.983054294,child9,15049,frame,-75
150.98632566900002,child10,15049,frame,32
161.00433604399998,child2,16059,frame,15
161.008091252,child3,16059,frame,-69
161.01529283300002,child4,16059,frame,-89
161.03096062100002,child6,16059,frame,-109
161.032592329,child5,16059,frame,-97
161.065242738,child8,16059,frame,-73
161.069173237,child7,16059,frame,16
161.06961023699998,child1,16059,frame,46
161.08667023200002,child9,16059,frame,-66
161.08877994,child10,16059,frame,-93
171.09300298600002,child10,17069,frame,49
171.09456294400002,child9,17069,frame,136
171.110442232,child2,17069,frame,145
171.111573773,child3,17069,frame,135
171.119271104,child4,17069,frame,123
171.134471392,child6,17069,frame,52
171.14176776600002,child5,17069,frame,40
171.16972221700001,child8,17069,frame,178
171.174140466,child1,17069,frame,46
171.17556592399998,child7,17069,frame,36
181.199610298,child10,18079,frame,-93
181.202415048,child9,18079,frame,-75
181.21696833599998,child2,18079,frame,-207
181.21836566899998,child3,18079,frame,49
181.224233459,child4,18079,frame,-231
181.23749941399998,child6,18079,frame,150
181.24966978600003,child5,18079,frame,35
181.275209905,child8,18079,frame,-85
181.279155195,child1,18079,frame,30
181.282566195,child7,18079,frame,-117
191.304589986,child10,19089,frame,48
191.304713569,child9,19089,frame,49
191.32254360599998,child2,19089,frame,260
191.324604898,child3,19089,frame,0
191.32854123,child4,19089,frame,185
191.33926839400002,child6,19089,frame,16
