Time [s],Channel 5,Channel 6
0.000000000,0,1
0.898999072,1,1
0.901631348,0,1
0.901666770,0,0
0.902288128,0,1
9.989158592,1,1
9.991791116,0,1
9.991826172,0,0
9.992462342,0,1
9.994111114,0,0
10.997812386,0,1
11.000225410,0,0
12.007819792,0,1
12.010232816,0,0
13.017827194,0,1
13.020240218,0,0
14.027834584,0,1
14.030247606,0,0
15.037841902,0,1
15.040255176,0,0
16.047849254,0,1
16.050262528,0,0
17.057856622,0,1
17.060269896,0,0
18.067863956,0,1
18.070276980,0,0
19.077871264,0,1
19.080284288,0,0
20.087878566,0,1
20.089333690,1,1
20.091966084,0,1
20.092001344,0,0
21.098071308,0,1
21.100484332,0,0
22.108078596,0,1
22.110491620,0,0
23.118085784,0,1
23.120499058,0,0
24.128093038,0,1
24.130506312,0,0
25.138100252,0,1
25.140513276,0,0
26.148107422,0,1
26.150520446,0,0
27.158114642,0,1
27.160527666,0,0
28.168121802,0,1
28.170535076,0,0
29.178128926,0,1
29.180542200,0,0
30.188136118,0,1
30.189507528,1,1
30.192139622,0,1
30.192175144,0,0
31.198255130,0,1
31.200668404,0,0
32.208272472,0,1
32.210685496,0,0
33.218289760,0,1
33.220703034,0,0
34.228307064,0,1
34.230720086,0,0
35.238324354,0,1
35.240737628,0,0
36.248341638,0,1
36.250754662,0,0
37.258358890,0,1
37.260772162,0,0
38.268376132,0,1
38.270789156,0,0
39.278393348,0,1
39.280806622,0,0
40.288410654,0,1
40.289680534,1,1
40.292312778,0,1
40.292348180,0,0
41.298428074,0,1
41.300841348,0,0
42.308445350,0,1
42.310858372,0,0
43.318462644,0,1
43.320875666,0,0
44.328479806,0,1
44.330893078,0,0
45.338497018,0,1
45.340910040,0,0
46.348514264,0,1
46.350927288,0,0
47.358531450,0,1
47.360944722,0,0
48.368548722,0,1
48.370961744,0,0
49.378565834,0,1
49.380979106,0,0
50.388583108,0,1
50.389852670,1,1
50.392484926,0,1
50.392520382,0,0
51.398600248,0,1
51.401013520,0,0
52.408617460,0,1
52.411030484,0,0
53.418634678,0,1
53.421047702,0,0
54.428651778,0,1
54.431065050,0,0
55.438669000,0,1
55.441082022,0,0
56.448686152,0,1
56.451099174,0,0
57.458703234,0,1
57.461116506,0,0
58.468720426,0,1
58.471133450,0,0
59.478737592,0,1
59.481150614,0,0
60.488754738,0,1
60.490024478,1,1
60.492657214,0,1
60.492692014,0,0
61.498771906,0,1
61.501185178,0,0
62.508789100,0,1
62.511202124,0,0
63.518806282,0,1
63.521219304,0,0
64.528823314,0,1
