time_s,node,asn,src,err_ns
30.718874951,child7,3030,frame,-48843
30.719594576,child8,3030,frame,-55576
30.721653783,child9,3030,frame,-73861
30.73022424,child10,3030,frame,-101959
30.740173779,child1,3030,frame,-33746
30.747144777000003,child2,3030,frame,-43827
30.764379106,child3,3030,frame,-38201
30.768763688,child4,3030,frame,-65237
30.786100101,child5,3030,frame,-61362
30.80039743,child6,3030,frame,-1586
40.821368275,child7,4040,frame,-127
40.824656565,child9,4040,frame,-206
40.826137315,child8,4040,frame,-98
40.831707689000005,child10,4040,frame,0
40.845301727,child1,4040,frame,-205
40.850953309,child2,4040,frame,46
40.871578345,child3,4040,frame,-125
40.872762012,child4,4040,frame,-124
40.892989923,child5,4040,frame,-124
40.902572879,child6,4040,frame,-81
50.922711765,child7,5050,frame,161
50.927939972,child8,5050,frame,-121
50.929742722,child9,5050,frame,13
50.932925013,child10,5050,frame,53
50.947969384000004,child1,5050,frame,165
50.95569709,child2,5050,frame,-67
50.975472294,child3,5050,frame,18
50.978841001,child4,5050,frame,161
50.996472247,child5,5050,frame,53
51.001667704,child6,5050,frame,24
61.005604635999994,child6,6060,frame,-110
61.029746255,child7,6060,frame,-97
61.032420337000005,child8,6060,frame,-97
61.033402962,child9,6060,frame,-116
61.040002252,child10,6060,frame,-89
61.052604041,child1,6060,frame,-202
61.061581955,child2,6060,frame,-106
61.084681282999995,child3,6060,frame,-113
61.086045491,child4,6060,frame,-81
61.101015653000005,child5,6060,frame,-107
71.110152168,child5,7070,frame,-79
71.114197875,child6,7070,frame,44
71.13647728599999,child9,7070,frame,21
71.136873119,child8,7070,frame,51
71.14169461799999,child7,7070,frame,6
71.146065158,child10,7070,frame,-68
71.152758948,child1,7070,frame,162
71.16396482100001,child2,7070,frame,26
71.18837231399999,child3,7070,frame,-85
71.19095748,child4,7070,frame,2
81.215685949,child5,8080,frame,-2
81.22494482200001,child6,8080,frame,177
81.241928817,child9,8080,frame,-92
81.242930817,child8,8080,frame,59
81.244446192,child7,8080,frame,6
81.250704273,child10,8080,frame,55
81.257263272,child1,8080,frame,3
81.26991506,child2,8080,frame,40
81.29396097099999,child3,8080,frame,57
81.29496747099999,child4,8080,frame,20
91.322707355,child5,9090,frame,-1
91.326926771,child6,9090,frame,-120
91.346746266,child9,9090,frame,-76
91.349203182,child7,9090,frame,-75
91.349796223,child8,9090,frame,-219
91.35667168,child10,9090,frame,-125
91.360742304,child1,9090,frame,-246
91.375579258,child2,9090,frame,-217
91.39771408600001,child3,9090,frame,-220
91.39903108600001,child4,9090,frame,-125
101.4057956,child3,10100,frame,16
101.426806928,child5,10100,frame,16
101.43185555199999,child6,10100,frame,23
101.453851797,child7,10100,frame,16
101.45412687999999,child9,10100,frame,59
101.456980587,child8,10100,frame,126
101.46390096100001,child10,10100,frame,18
101.46498471000001,child1,10100,frame,163
101.47784183200001,child2,10100,frame,127
101.502359201,child4,10100,frame,142
110.505005844,child4,11009,frame,52
110.511464384,child3,11009,frame,11
110.53079687900001,child5,11009,frame,-69
110.536173503,child6,11009,frame,-2
110.555355956,child9,11009,frame,-98
110.561609997,child7,11009,frame,-2
110.561679163,child8,11009,frame,-114
110.569093411,child10,11009,frame,20
110.569160036,child1,11009,frame,-99
110.5814932,child2,11009,frame,-89
120.60780946,child4,12019,frame,-67
120.61540687399999,child3,12019,frame,29
120.63869595199999,child5,12019,frame,18
120.639630327,child6,12019,frame,24
120.65924873799999,child9,12019,frame,21
120.66483244499999,child8,12019,frame,13
120.665753403,child7,12019,frame,18
120.670845944,child10,12019,frame,17
120.672508027,child1,12019,frame,41
120.68608544,child2,12019,frame,-124
130.716947948,child4,13029,frame,54
130.71799199,child3,13029,frame,-99
130.743109525,child5,13029,frame,-113
130.746385733,child6,13029,frame,17
130.765653936,child9,13029,frame,15
130.768264769,child7,13029,frame,-72
130.771583435,child8,13029,frame,17
130.77454805899998,child10,13029,frame,17
130.776363183,child1,13029,frame,24
130.791109763,child2,13029,frame,27
140.794773695,child2,14039,frame,28
140.82244568800002,child3,14039,frame,51
140.826904354,child4,14039,frame,0
140.845451557,child5,14039,frame,39
140.849860681,child6,14039,frame,16
140.870873926,child9,14039,frame,22
140.876627966,child7,14039,frame,33
140.878255132,child8,14039,frame,29
140.87931234,child10,14039,frame,-99
140.88039934,child1,14039,frame,38
150.901656726,child2,15049,frame,4
150.92681363600002,child3,15049,frame,42
150.931963802,child4,15049,frame,53
150.952919588,child5,15049,frame,156
150.95396200500002,child6,15049,frame,1
150.973953125,child9,15049,frame,14
150.982485831,child7,15049,frame,23
150.98357707999998,child1,15049,frame,16
150.98467653900002,child10,15049,frame,140
150.98739249599998,child8,15049,frame,0
161.003527092,child2,16059,frame,28
161.03254458499998,child3,16059,frame,-90
161.037839125,child4,16059,frame,-79
161.05259116300002,child6,16059,frame,0
161.058548328,child5,16059,frame,-100
161.076877948,child9,16059,frame,3
161.082556989,child1,16059,frame,-95
161.088848904,child7,16059,frame,5
161.08949502800002,child10,16059,frame,-112
161.09416081900002,child8,16059,frame,27
171.095128877,child7,17069,frame,25
171.09619712600002,child10,17069,frame,157
171.1017655,child8,17069,frame,141
171.104808499,child2,17069,frame,36
171.132783784,child3,17069,frame,183
171.14455994800002,child4,17069,frame,182
171.15263344599998,child6,17069,frame,36
171.166146859,child5,17069,frame,144
171.186164729,child1,17069,frame,172
171.186615187,child9,17069,frame,14
181.19807695,child7,18079,frame,-66
181.19930445,child10,18079,frame,-247
181.206807573,child8,18079,frame,-210
181.212838238,child2,18079,frame,-114
181.23761873200002,child3,18079,frame,-233
181.250431729,child4,18079,frame,-108
181.257726727,child6,18079,frame,-124
181.26951559900002,child5,18079,frame,-120
181.294055176,child9,18079,frame,-118
181.294795801,child1,18079,frame,-109
191.30088135800003,child9,19089,frame,155
191.302326899,child7,19089,frame,150
191.302963565,child1,19089,frame,29
191.30314698200002,child10,19089,frame,158
191.312826688,child8,19089,frame,159
191.31793851999998,child2,19089,frame,152
191.338386015,child3,19089,frame,173
191.353577553,child4,19089,frame,40
191.36320925799998,child6,19089,frame,141
191.37722958799998,child5,19089,frame,23
201.404485389,child1,20099,frame,13
201.404934973,child9,20099,frame,47
201.408905097,child7,20099,frame,7
201.40901822200001,child10,20099,frame,-106
201.41758234399998,child8,20099,frame,-76
201.420239719,child2,20099,frame,21
201.44347575499998,child3,20099,frame,32
201.459022917,child4,20099,frame,41
201.46765799800002,child6,20099,frame,-1
201.483941661,child5,20099,frame,139
210.487473096,child5,21008,frame,-68
210.506207674,child1,21008,frame,22
210.511085965,child10,21008,frame,36
210.512004923,child9,21008,frame,-200
210.514207047,child7,21008,frame,-195
210.52580475300002,child8,21008,frame,-122
210.527503502,child2,21008,frame,7
210.54712162200002,child3,21008,frame,-117
210.564566368,child4,21008,frame,17
210.569869325,child6,21008,frame,-83
220.593593123,child5,22018,frame,-117
220.61329466,child1,22018,frame,13
220.61351570099998,child9,22018,frame,22
220.618126158,child7,22018,frame,23
220.618925866,child10,22018,frame,-110
220.630182447,child8,22018,frame,151
220.632303613,child2,22018,frame,-75
220.650730525,child3,22018,frame,34
220.669860145,child4,22018,frame,25
220.671807311,child6,22018,frame,9
230.70255081099998,child5,23028,frame,130
230.71832809900002,child9,23028,frame,22
230.71846222399998,child1,23028,frame,-111
230.72304114,child7,23028,frame,5
230.727781805,child10,23028,frame,162
230.73426947,child2,23028,frame,14
230.734504553,child8,23028,frame,-70
230.75639617299998,child3,23028,frame,34
230.77621495900001,child6,23028,frame,8
230.77686091799998,child4,23028,frame,16
240.804846418,child5,24038,frame,-121
240.821922831,child1,24038,frame,28
240.823999289,child9,24038,frame,5
240.825244955,child7,24038,frame,25
240.832095203,child10,24038,frame,33
240.839187826,child8,24038,frame,1
240.839781035,child2,24038,frame,13
240.861949571,child3,24038,frame,-91
240.875295651,child6,24038,frame,8
240.879714191,child4,24038,frame,18
250.91053969100003,child5,25048,frame,8
250.92264902099998,child1,25048,frame,14
250.92960951999999,child9,25048,frame,22
250.931815186,child7,25048,frame,5
250.938281392,child10,25048,frame,-107
250.942657516,child2,25048,frame,13
250.94893247299999,child8,25048,frame,20
250.96872426,child3,25048,frame,160
250.980130715,child6,25048,frame,9
250.984599881,child4,25048,frame,0
260.99007747,child4,26058,frame,-108
261.015962131,child5,26058,frame,22
261.023786504,child1,26058,frame,28
261.035673626,child9,26058,frame,23
261.03598675,child7,26058,frame,25
261.040520874,child10,26058,frame,49
261.043106124,child2,26058,frame,-112
261.051234747,child8,26058,frame,18
261.074746116,child3,26058,frame,-91
261.084361322,child6,26058,frame,28
271.088488037,child6,27068,frame,-70
271.09853645100003,child4,27068,frame,34
271.117698654,child5,27068,frame,7
271.12766611,child1,27068,frame,-109
271.138313191,child9,27068,frame,6
271.13927369,child7,27068,frame,-110
271.14257994,child10,27068,frame,19
271.146976272,child2,27068,frame,58
271.160101227,child8,27068,frame,-116
271.17404364,child3,27068,frame,20
281.190714602,child6,28078,frame,141
281.200970433,child4,28078,frame,16
281.22473176,child5,28078,frame,-101
281.236931757,child1,28078,frame,30
281.242511505,child7,28078,frame,154
281.246286796,child9,28078,frame,22
281.247553879,child10,28078,frame,33
281.25341300300005,child2,28078,frame,-104
281.268355416,child8,28078,frame,151
281.280734412,child3,28078,frame,-91
291.30331379,child4,29088,frame,14
291.331165616,child5,29088,frame,37
291.343073113,child1,29088,frame,31
291.347186737,child7,29088,frame,32
291.351283986,child9,29088,frame,11
291.35223461,child10,29088,frame,1
291.35802556699997,child2,29088,frame,36
291.374730355,child8,29088,frame,0
291.384474269,child3,29088,frame,51
291.389544184,child6,29088,frame,-125
301.389219609,child6,30098,frame,7
301.407618063,child4,30098,frame,-111
301.434223848,child5,30098,frame,26
301.44605197,child1,30098,frame,-94
301.453185343,child7,30098,frame,-73
301.455844384,child10,30098,frame,-105
301.455979425,child9,30098,frame,-120
301.460230299,child2,30098,frame,36
301.476319379,child8,30098,frame,-246
301.48589195899996,child3,30098,frame,31
310.48382997100003,child8,31007,frame,163
310.48900788699996,child3,31007,frame,-100
310.499768884,child6,31007,frame,-76
310.511927006,child4,31007,frame,22
310.53704433300004,child5,31007,frame,-116
310.550182163,child1,31007,frame,52
310.556661869,child10,31007,frame,-103
310.556843536,child7,31007,frame,-232
310.56346453400005,child9,31007,frame,8
310.56606445,child2,31007,frame,10
320.588179536,child8,32017,frame,8
320.594564409,child3,32017,frame,49
320.60631974,child6,32017,frame,17
320.615047529,child4,32017,frame,32
320.642360314,child5,32017,frame,45
320.65423410200003,child1,32017,frame,-95
320.65948118399996,child7,32017,frame,154
320.660916101,child10,32017,frame,50
320.669172849,child9,32017,frame,23
320.671000307,child2,32017,frame,-222
330.692431476,child8,33027,frame,27
330.696274433,child3,33027,frame,32
330.71198242900005,child6,33027,frame,16
330.723695301,child4,33027,frame,30
330.74601967,child5,33027,frame,32
330.756798876,child1,33027,frame,126
330.762859499,child7,33027,frame,33
330.766863665,child10,33027,frame,48
330.772362664,child9,33027,frame,2
330.776049871,child2,33027,frame,185
340.782563752,child2,34037,frame,26
340.79864454,child8,34037,frame,-116
340.802959039,child3,34037,frame,-219
340.81501953599997,child6,34037,frame,17
340.82522507500005,child4,34037,frame,31
340.854281984,child5,34037,frame,-78
340.85956898300003,child1,34037,frame,-88
340.871137772,child7,34037,frame,-95
340.872431521,child10,34037,frame,34
340.878021478,child9,34037,frame,-102
350.88467498399996,child9,35047,frame,38
350.885381567,child2,35047,frame,31
350.90307510499997,child8,35047,frame,25
350.908226478,child3,35047,frame,129
350.916415476,child6,35047,frame,36
350.93344959700005,child4,35047,frame,-110
350.959140465,child5,35047,frame,45
350.962960798,child1,35047,frame,52
350.97696875300005,child7,35047,frame,29
350.977707627,child10,35047,frame,-92
360.98187467599996,child7,36057,frame,33
360.98561721699997,child10,36057,frame,32
360.989314424,child9,36057,frame,38
360.993024798,child2,36057,frame,-89
361.007921753,child8,36057,frame,28
361.011395085,child3,36057,frame,58
361.019992624,child6,36057,frame,-117
361.036944412,child4,36057,frame,33
361.067699612,child5,36057,frame,43
361.06775002899997,child1,36057,frame,-88
371.08706649,child7,37067,frame,-97
371.08886019799996,child10,37067,frame,-74
371.091757447,child9,37067,frame,21
371.099790529,child2,37067,frame,36
371.112569442,child8,37067,frame,25
371.1151299,child3,37067,frame,43
371.124952772,child6,37067,frame,166
371.13896189400003,child4,37067,frame,32
371.17236946900005,child5,37067,frame,31
371.176904051,child1,37067,frame,52
381.181077183,child1,38077,frame,-72
381.18821297200003,child10,38077,frame,3
381.190482514,child7,38077,frame,127
381.196355304,child9,38077,frame,-86
381.20476721800003,child2,38077,frame,-107
381.22164271400004,child3,38077,frame,-83
381.222530714,child8,38077,frame,42
381.23031592,child6,38077,frame,-117
381.242319375,child4,38077,frame,34
381.279336324,child5,38077,frame,-94
391.283670164,child1,39087,frame,52
391.285730747,child5,39087,frame,126
391.29114637099997,child10,39087,frame,57
391.293091954,child7,39087,frame,46
391.298122911,child9,39087,frame,38
391.312727324,child2,39087,frame,54
391.323845613,child3,39087,frame,184
391.327945862,child8,39087,frame,-70
391.33292377699996,child6,39087,frame,150
391.349250106,child4,39087,frame,16
401.387153771,child1,40097,frame,-71
401.393017145,child10,40097,frame,-84
401.394009186,child5,40097,frame,-105
401.40093210099997,child7,40097,frame,-66
401.40302189199997,child9,40097,frame,36
401.416096847,child2,40097,frame,52
401.428963594,child3,40097,frame,-99
401.43243038500003,child6,40097,frame,-127
401.432964009,child8,40097,frame,19
401.451920296,child4,40097,frame,-109
410.48979092300004,child1,41006,frame,56
410.49768008800004,child5,41006,frame,152
410.500309879,child10,41006,frame,58
410.50489758599997,child9,41006,frame,130
410.506496294,child7,41006,frame,39
410.523041331,child2,41006,frame,23
410.531253204,child3,41006,frame,34
410.531602329,child6,41006,frame,180
410.535401536,child8,41006,frame,41
