Time [s],Channel 5,Channel 6
0.000000000,1,0
4.141437798,0,0
4.142113498,1,0
4.142449972,0,0
4.534927920,0,1
4.535927436,0,0
4.536485638,0,1
5.539556424,1,1
5.542188050,0,1
5.542223996,0,0
5.542834196,0,1
14.629694328,1,1
14.632326566,0,1
14.632361972,0,0
14.632986236,0,1
14.634579502,0,0
15.638345042,0,1
15.640758060,0,0
16.648350036,0,1
16.650763304,0,0
17.658355098,0,1
17.660768116,0,0
18.668360076,0,1
18.670773092,0,0
19.678365046,0,1
19.680778314,0,0
20.688369996,0,1
20.690783264,0,0
21.698375000,0,1
21.700788266,0,0
22.708379968,0,1
22.710792986,0,0
23.718384898,0,1
23.720797916,0,0
24.728389880,0,1
24.729846242,1,1
24.732477792,0,1
24.732513898,0,0
25.738581518,0,1
25.740994536,0,0
26.748586426,0,1
26.750999444,0,0
27.758591288,0,1
27.761004554,0,0
28.768596148,0,1
28.771009416,0,0
29.778601078,0,1
29.781014346,0,0
30.788605962,0,1
30.791018980,0,0
31.798610844,0,1
31.801023860,0,0
32.808615688,0,1
32.811028706,0,0
33.818620534,0,1
33.821033800,0,0
34.828625342,0,1
34.829997334,1,1
34.832628698,0,1
34.832665110,0,0
35.838742806,0,1
35.841156074,0,0
36.848757872,0,1
36.851170890,0,0
37.858772928,0,1
37.861186196,0,0
38.868787986,0,1
38.871201004,0,0
39.878803022,0,1
39.881216290,0,0
40.888818170,0,1
40.891231186,0,0
41.898833132,0,1
41.901246400,0,0
42.908848210,0,1
42.911261226,0,0
43.918863212,0,1
43.921276478,0,0
44.928878282,0,1
44.930147926,1,1
44.932779862,0,1
44.932815548,0,0
45.938893320,0,1
45.941306588,0,0
46.948908380,0,1
46.951321398,0,0
47.958923368,0,1
47.961336386,0,0
48.968938362,0,1
48.971351628,0,0
49.978953460,0,1
49.981366478,0,0
50.988968376,0,1
50.991381642,0,0
51.998983418,0,1
52.001396436,0,0
53.008998396,0,1
53.011411662,0,0
54.019013406,0,1
54.021426422,0,0
55.029028390,0,1
55.030298056,1,1
55.032929632,0,1
55.032965656,0,0
56.039043360,0,1
56.041456376,0,0
57.049058370,0,1
57.051471638,0,0
58.059073414,0,1
58.061486432,0,0
59.069088378,0,1
59.071501646,0,0
60.079103368,0,1
60.081516384,0,0
61.089118376,0,1
61.091531394,0,0
62.099133304,0,1
62.101546572,0,0
63.109148334,0,1
63.111561352,0,0
64.119163254,0,1
64.121576522,0,0
65.129178262,0,1
65.130448036,1,1
65.133079372,0,1
65.133115528,0,0
66.139193344,0,1
66.141606612,0,0
67.149208354,0,1
67.151621372,0,0
68.159223296,0,1
68.161636314,0,0
69.169238326,0,1
69.171651344,0,0
70.179253270,0,1
70.181666536,0,0
71.189268262,0,1
71.191681278,0,0
72.199283218,0,1
72.201696484,0,0
73.209298180,0,1
73.211711196,0,0
74.219313098,0,1
74.221726364,0,0
75.229328128,0,1
75.230597704,1,1
75.233229850,0,1
75.233265394,0,0
76.239343110,0,1
76.241756126,0,0
77.249358030,0,1
77.251771046,0,0
78.259373008,0,1
78.261786024,0,0
79.269387990,0,1
79.271801006,0,0
80.279402900,0,1
80.281815916,0,0
81.289417910,0,1
81.291830926,0,0
82.299432840,0,1
82.301846106,0,0
83.309447782,0,1
83.311860798,0,0
84.319462704,0,1
84.321875720,0,0
85.329477708,0,1
85.330747282,1,1
85.333379248,0,1
85.333414974,0,0
86.339492626,0,1
86.341905894,0,0
87.349507638,0,1
87.351920656,0,0
88.359522512,0,1
88.361935528,0,0
89.369537480,0,1
89.371950496,0,0
90.379552398,0,1
90.381965664,0,0
91.389567374,0,1
91.391980392,0,0
92.399582266,0,1
92.401995284,0,0
93.409597238,0,1
93.412010254,0,0
94.419612206,0,1
94.422025222,0,0
95.429627134,0,1
95.430896798,1,1
95.433528668,0,1
95.433564400,0,0
96.439642006,0,1
96.442055024,0,0
97.449657036,0,1
97.452070052,0,0
98.459671960,0,1
98.462084978,0,0
99.469686874,0,1
99.472099890,0,0
100.479701784,0,1
100.482114802,0,0
101.489716800,0,1
101.492129816,0,0
102.499731678,0,1
102.502144694,0,0
103.509746618,0,1
103.512159636,0,0
104.519761558,0,1
104.522174574,0,0
105.529776526,0,1
105.531046130,1,1
105.533677870,0,1
105.533713792,0,0
106.539791442,0,1
106.542204706,0,0
107.549806378,0,1
107.552219394,0,0
108.559821316,0,1
108.562234584,0,0
109.569836264,0,1
109.572249280,0,0
110.579851166,0,1
110.582264434,0,0
111.589866110,0,1
111.592279128,0,0
112.599880990,0,1
112.602294256,0,0
113.609895980,0,1
113.612308996,0,0
114.619910848,0,1
114.621180580,1,1
114.623812456,0,1
114.623848364,0,0
115.629925878,0,1
115.632339144,0,0
116.639940816,0,1
116.642353834,0,0
117.649955730,0,1
117.652368996,0,0
118.659970690,0,1
118.662383706,0,0
119.669985598,0,1
119.672398866,0,0
120.680000558,0,1
120.682413576,0,0
121.690015416,0,1
121.692428432,0,0
122.700030380,0,1
122.702443646,0,0
123.710045360,0,1
123.712458376,0,0
124.720060214,0,1
124.721329800,1,1
124.723961574,0,1
124.723997482,0,0
125.730075100,0,1
125.732488368,0,0
126.740090002,0,1
126.742503020,0,0
127.750104882,0,1
127.752518148,0,0
128.760119846,0,1
128.762532862,0,0
129.770134740,0,1
129.772548008,0,0
130.780149692,0,1
130.782562710,0,0
131.790164580,0,1
131.792577846,0,0
132.800179542,0,1
132.802592558,0,0
133.810194440,0,1
133.812607708,0,0
134.820209372,0,1
134.821479038,1,1
134.824110548,0,1
134.824146638,0,0
135.830224414,0,1
135.832637682,0,0
136.840239296,0,1
136.842652312,0,0
137.850254218,0,1
137.852667484,0,0
138.860269114,0,1
138.862682132,0,0
139.870284074,0,1
139.872697342,0,0
140.880299014,0,1
140.882712030,0,0
141.890313908,0,1
141.892727174,0,0
142.900328808,0,1
142.902741826,0,0
143.910343748,0,1
143.912756764,0,0
144.920358612,0,1
144.921628146,1,1
144.924259894,0,1
144.924295878,0,0
145.930373410,0,1
145.932786676,0,0
146.940388320,0,1
146.942801336,0,0
147.950403242,0,1
147.952816508,0,0
148.960418162,0,1
148.962831180,0,0
149.970433082,0,1
149.972846350,0,0
150.980447948,0,1
150.982860964,0,0
151.990462908,0,1
151.992876174,0,0
153.000477794,0,1
153.002890812,0,0
154.010492628,0,1
154.012905894,0,0
155.020507654,0,1
155.021777292,1,1
155.024409152,0,1
155.024444920,0,0
156.030522512,0,1
156.032935780,0,0
157.040537436,0,1
157.042950452,0,0
158.050552310,0,1
158.052965578,0,0
159.060567220,0,1
159.062980236,0,0
160.070582172,0,1
160.072995440,0,0
161.080597072,0,1
161.083010088,0,0
162.090611964,0,1
162.093025232,0,0
163.100626884,0,1
163.103039902,0,0
164.110641736,0,1
164.113055002,0,0
165.120656674,0,1
165.121926392,1,1
165.124557978,0,1
165.124594190,0,0
166.130671718,0,1
166.133084986,0,0
167.140686666,0,1
167.143099682,0,0
168.150701498,0,1
168.153114766,0,0
169.160716468,0,1
169.163129484,0,0
170.170731372,0,1
170.173144640,0,0
171.180746246,0,1
171.183159264,0,0
172.190761162,0,1
172.193174430,0,0
173.200776064,0,1
173.203189080,0,0
174.210791002,0,1
174.213204268,0,0
175.220805918,0,1
175.222075400,1,1
175.224707196,0,1
175.224742934,0,0
176.230820652,0,1
176.233233920,0,0
177.240835540,0,1
177.243248556,0,0
178.250850470,0,1
178.253263736,0,0
179.260865372,0,1
179.263278388,0,0
180.270880276,0,1
180.273293544,0,0
181.280895208,0,1
181.283308226,0,0
182.290910040,0,1
182.293323306,0,0
183.300925042,0,1
183.303338058,0,0
184.310939864,0,1
