Time [s],Channel 5,Channel 6
0.000000000,1,0
8.750285668,0,0
8.750960530,1,0
8.751298062,0,0
9.154132060,0,1
9.155131580,0,0
9.155689466,0,1
9.610166412,1,1
9.612798432,0,1
9.612834172,0,0
9.613444310,0,1
19.480317496,1,1
19.482949284,0,1
19.482985108,0,0
19.483609276,0,1
19.485202544,0,0
19.948955092,0,1
19.951368360,0,0
20.418957516,0,1
20.421370534,0,0
20.888959930,0,1
20.891373198,0,0
21.358962280,0,1
21.361375298,0,0
21.828964658,0,1
21.831377926,0,0
22.298967136,0,1
22.301380154,0,0
22.768969504,0,1
22.771382772,0,0
23.238971944,0,1
23.241384962,0,0
23.708974266,0,1
23.711387534,0,0
24.178976698,0,1
24.181389716,0,0
24.648979068,0,1
24.651392086,0,0
25.118981432,0,1
25.121394700,0,0
25.588983798,0,1
25.591396816,0,0
26.058986154,0,1
26.061399422,0,0
26.528988580,0,1
26.531401598,0,0
26.998990928,0,1
27.001404194,0,0
27.468993328,0,1
27.471406346,0,0
27.938995646,0,1
27.941408914,0,0
28.408998110,0,1
28.411411126,0,0
28.879000374,0,1
28.881413642,0,0
29.349002842,0,1
29.350467536,1,1
29.353099784,0,1
29.353135110,0,0
29.819200278,0,1
29.821613546,0,0
30.289202608,0,1
30.291615626,0,0
30.759204972,0,1
30.761618240,0,0
31.229207382,0,1
31.231620400,0,0
31.699209694,0,1
31.701622962,0,0
32.169212120,0,1
32.171625138,0,0
32.639214422,0,1
32.641627688,0,0
33.109216780,0,1
33.111629798,0,0
33.579219110,0,1
33.581632378,0,0
34.049221492,0,1
34.051634510,0,0
34.519223832,0,1
34.521636850,0,0
34.989226130,0,1
34.991639398,0,0
35.459228464,0,1
35.461641482,0,0
35.929230788,0,1
35.931644056,0,0
36.399233154,0,1
36.401646422,0,0
36.869235550,0,1
36.871648566,0,0
37.339237846,0,1
37.341651114,0,0
37.809240218,0,1
37.811653234,0,0
38.279242520,0,1
38.281655536,0,0
38.749244904,0,1
38.751657922,0,0
39.219247196,0,1
39.220616894,1,1
39.223248222,0,1
39.223284712,0,0
39.689354380,0,1
39.691767646,0,0
40.159361522,0,1
40.161774540,0,0
40.629368642,0,1
40.631781660,0,0
41.099375654,0,1
41.101788922,0,0
41.569382770,0,1
41.571796038,0,0
42.039389892,0,1
42.041802908,0,0
42.509396986,0,1
42.511810004,0,0
42.979404016,0,1
42.981817284,0,0
43.449411180,0,1
43.451824198,0,0
43.919418222,0,1
43.921831490,0,0
44.389425342,0,1
44.391838610,0,0
44.859432464,0,1
44.861845482,0,0
45.329439524,0,1
45.331852542,0,0
45.799446560,0,1
45.801859828,0,0
46.269453672,0,1
46.271866940,0,0
46.739460752,0,1
46.741873768,0,0
47.209467870,0,1
47.211880888,0,0
47.679474918,0,1
47.681888186,0,0
48.149482032,0,1
48.151895050,0,0
48.619489128,0,1
48.621902146,0,0
49.089496194,0,1
49.091909462,0,0
49.559503272,0,1
49.560773018,1,1
49.563404712,0,1
49.563440788,0,0
50.029510448,0,1
50.031923716,0,0
50.499517578,0,1
50.501930844,0,0
50.969524628,0,1
50.971937644,0,0
51.439531708,0,1
51.441944976,0,0
51.909538786,0,1
51.911952054,0,0
52.379545868,0,1
52.381958886,0,0
52.849553002,0,1
52.851966018,0,0
53.319560004,0,1
53.321973270,0,0
53.789567064,0,1
53.791980332,0,0
54.259574194,0,1
54.261987210,0,0
54.729581282,0,1
54.731994300,0,0
55.199588350,0,1
55.202001368,0,0
55.669595426,0,1
55.672008444,0,0
56.139602482,0,1
56.142015500,0,0
56.609609614,0,1
56.612022630,0,0
57.079616584,0,1
57.082029852,0,0
57.549623642,0,1
57.552036910,0,0
