Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
8.325138468,1,0,0
8.326614480,0,0,0
8.793000132,0,0,1
8.793002988,0,1,1
8.793736154,0,1,0
8.796235614,0,0,0
9.263000524,0,0,1
9.263003364,0,1,1
9.263736546,0,1,0
9.266236008,0,0,0
9.733000912,0,0,1
9.733003752,0,1,1
9.733736934,0,1,0
9.736236396,0,0,0
10.203001294,0,0,1
10.203004134,0,1,1
10.203737316,0,1,0
10.206236778,0,0,0
10.673001672,0,0,1
10.673004512,0,1,1
10.673737694,0,1,0
10.676237156,0,0,0
11.143002044,0,0,1
11.143004886,0,1,1
11.143738066,0,1,0
11.146237528,0,0,0
11.613002414,0,0,1
11.613005254,0,1,1
11.613738434,0,1,0
11.616237896,0,0,0
12.083002776,0,0,1
12.083005616,0,1,1
12.083738798,0,1,0
12.086238260,0,0,0
12.553003136,0,0,1
12.553005976,0,1,1
12.553739158,0,1,0
12.556238620,0,0,0
13.023003490,0,0,1
13.023006330,0,1,1
13.023739512,0,1,0
13.026238974,0,0,0
13.493003840,0,0,1
13.493006680,0,1,1
13.493739862,0,1,0
13.496239324,0,0,0
13.963004188,0,0,1
13.963007028,0,1,1
13.963740210,0,1,0
13.966239670,0,0,0
14.433004530,0,0,1
14.433007370,0,1,1
14.433740552,0,1,0
14.436240012,0,0,0
14.903004868,0,0,1
14.903007708,0,1,1
14.903740890,0,1,0
14.906240352,0,0,0
15.373005202,0,0,1
15.373008042,0,1,1
15.373741224,0,1,0
15.376240686,0,0,0
15.843005534,0,0,1
15.843008374,0,1,1
15.843741556,0,1,0
15.846241016,0,0,0
16.313005862,0,0,1
16.313008702,0,1,1
16.313741882,0,1,0
16.315106092,1,1,0
16.316582102,0,1,0
16.316695908,0,0,0
16.782958184,0,0,1
16.782961026,0,1,1
16.783694206,0,1,0
16.786193668,0,0,0
17.252958506,0,0,1
17.252961346,0,1,1
17.253694528,0,1,0
17.256193988,0,0,0
17.722958822,0,0,1
17.722961662,0,1,1
17.723694844,0,1,0
17.726194306,0,0,0
18.192959136,0,0,1
18.192961976,0,1,1
18.193695158,0,1,0
18.196194620,0,0,0
18.662959446,0,0,1
18.662962286,0,1,1
18.663695468,0,1,0
18.666194930,0,0,0
19.132959754,0,0,1
19.132962594,0,1,1
19.133695776,0,1,0
19.136195238,0,0,0
19.602960058,0,0,1
19.602962898,0,1,1
19.603696080,0,1,0
19.606195542,0,0,0
20.072960360,0,0,1
20.072963200,0,1,1
20.073696382,0,1,0
20.076195842,0,0,0
20.542960658,0,0,1
20.542963498,0,1,1
20.543696680,0,1,0
20.546196142,0,0,0
21.012960954,0,0,1
21.012963794,0,1,1
