time_s,node,asn,src,err_ns
11.586351780000001,leaf,846,frame,48000
21.456423959,leaf,1833,frame,48000
30.386523253,leaf,2726,frame,-16000
39.786582885,leaf,3666,frame,16000
49.186668017,leaf,4606,frame,0
57.176718844,leaf,5405,frame,0
67.045830231,leaf,6392,frame,0
75.035881517,leaf,7191,frame,16000
83.49591872299999,leaf,8037,frame,-16000
91.95604143,leaf,8883,frame,0
100.88618564,leaf,9776,frame,0
110.756186569,leaf,10763,frame,0
119.21628335899999,leaf,11609,frame,16000
126.736232973,leaf,12361,frame,0
135.66629480900002,leaf,13254,frame,-16000
144.596383145,leaf,14147,frame,0
153.996442902,leaf,15087,frame,16000
163.86653383,leaf,16074,frame,0
171.386575403,leaf,16826,frame,-16000
180.316649114,leaf,17719,frame,0
190.18672775,leaf,18706,frame,0
199.116793753,leaf,19599,frame,0
208.986892931,leaf,20586,frame,16000
218.385943272,leaf,21526,frame,0
228.25604561699998,leaf,22513,frame,0
235.77615293899999,leaf,23265,frame,0
245.17627853000002,leaf,24205,frame,0
254.576235662,leaf,25145,frame,-16000
262.566293406,leaf,25944,frame,16000
270.556330647,leaf,26743,frame,-16000
278.54640508,leaf,27542,frame,0
286.53644638699996,leaf,28341,frame,16000
295.93652695500003,leaf,29281,frame,-16000
304.396595141,leaf,30127,frame,0
313.326655038,leaf,31020,frame,16000
322.726727439,leaf,31960,frame,-16000
331.656817379,leaf,32853,frame,0
341.056872446,leaf,33793,frame,16000
350.926966226,leaf,34780,frame,0
358.91701549199996,leaf,35579,frame,-16000
366.90611838300003,leaf,36378,frame,0
375.836157947,leaf,37271,frame,0
385.70620314300004,leaf,38258,frame,0
394.166269412,leaf,39104,frame,0
404.036428983,leaf,40091,frame,0
412.026469457,leaf,40890,frame,16000
421.42649589999996,leaf,41830,frame,-16000
431.296568388,leaf,42817,frame,0
439.286635029,leaf,43616,frame,16000
448.686693846,leaf,44556,frame,-16000
457.616739911,leaf,45449,frame,0
465.13684067300005,leaf,46201,frame,0
475.006898994,leaf,47188,frame,0
484.87696364799996,leaf,48175,frame,0
494.747075261,leaf,49162,frame,16000
502.267139482,leaf,49914,frame,-16000
511.197172588,leaf,50807,frame,16000
520.126300819,leaf,51700,frame,-16000
528.586312921,leaf,52546,frame,16000
538.456390242,leaf,53533,frame,0
547.38644189,leaf,54426,frame,-16000
555.846501034,leaf,55272,frame,16000
564.776569474,leaf,56165,frame,-16000
574.646719836,leaf,57152,frame,0
582.636707935,leaf,57951,frame,16000
592.506797631,leaf,58938,frame,0
601.9068768660001,leaf,59878,frame,-16000
611.306932975,leaf,60818,frame,0
620.7070038759999,leaf,61758,frame,16000
629.167076228,leaf,62604,frame,-16000
637.627158164,leaf,63450,frame,16000
645.617200388,leaf,64249,frame,-16000
654.077275283,leaf,65095,frame,16000
662.537322343,leaf,65941,frame,-16000
670.9964113630001,leaf,66787,frame,16000
680.396495722,leaf,67727,frame,-16000
689.79659679,leaf,68667,frame,0
698.726695271,leaf,69560,frame,16000
707.656726085,leaf,70453,frame,-16000
715.646739017,leaf,71252,frame,16000
723.6367965750001,leaf,72051,frame,-16000
731.626825591,leaf,72850,frame,0
739.146897353,leaf,73602,frame,16000
749.016970091,leaf,74589,frame,-16000
758.4170672,leaf,75529,frame,0
766.407115716,leaf,76328,frame,16000
773.927173853,leaf,77080,frame,-16000
783.797289757,leaf,78067,frame,0
792.7273198629999,leaf,78960,frame,0
800.247377,leaf,79712,frame,0
809.6474962760001,leaf,80652,frame,0
819.046549386,leaf,81592,frame,0
826.566572065,leaf,82344,frame,0
836.436698969,leaf,83331,frame,0
844.426754318,leaf,84130,frame,0
853.356806508,leaf,85023,frame,0
861.8168403179999,leaf,85869,frame,0
870.746898008,leaf,86762,frame,0
879.206963402,leaf,87608,frame,16000
887.197036668,leaf,88407,frame,-16000
