Time [s],Channel 9,Channel 10,Channel 11
0.000000000,0,0,0
6.455220206,1,0,0
6.456696214,0,0,0
6.923090114,0,0,1
6.923092954,0,1,1
6.923850136,0,1,0
6.926314108,0,0,0
7.393089938,0,0,1
7.393092764,0,1,1
7.393849960,0,1,0
7.396313934,0,0,0
7.863089758,0,0,1
7.863092582,0,1,1
7.863849780,0,1,0
7.866313754,0,0,0
8.333089574,0,0,1
8.333092398,0,1,1
8.333849594,0,1,0
8.336313568,0,0,0
8.803089382,0,0,1
8.803092208,0,1,1
8.803849404,0,1,0
8.806313378,0,0,0
9.273089188,0,0,1
9.273092012,0,1,1
9.273849210,0,1,0
9.276313184,0,0,0
9.743088988,0,0,1
9.743091814,0,1,1
9.743849010,0,1,0
9.746312984,0,0,0
10.213088786,0,0,1
10.213091610,0,1,1
10.213848806,0,1,0
10.216312780,0,0,0
10.683088578,0,0,1
10.683091402,0,1,1
10.683848598,0,1,0
10.686312572,0,0,0
11.153088366,0,0,1
11.153091190,0,1,1
11.153848386,0,1,0
11.156312360,0,0,0
11.623088150,0,0,1
11.623090974,0,1,1
11.623848170,0,1,0
11.626312144,0,0,0
12.093087930,0,0,1
12.093090754,0,1,1
12.093847950,0,1,0
12.096311924,0,0,0
12.563087706,0,0,1
12.563090532,0,1,1
12.563847728,0,1,0
12.566311702,0,0,0
13.033087480,0,0,1
13.033090304,0,1,1
13.033847500,0,1,0
13.036311474,0,0,0
13.503087250,0,0,1
13.503090074,0,1,1
13.503847270,0,1,0
13.506311244,0,0,0
13.973087016,0,0,1
13.973089840,0,1,1
13.973847036,0,1,0
13.976311010,0,0,0
14.443086780,0,0,1
14.443089604,0,1,1
14.443846800,0,1,0
14.445179886,1,1,0
14.446655896,0,1,0
14.446769086,0,0,0
14.913049540,0,0,1
14.913052364,0,1,1
14.913809560,0,1,0
14.916273534,0,0,0
15.383049296,0,0,1
15.383052122,0,1,1
15.383809318,0,1,0
15.386273290,0,0,0
15.853049050,0,0,1
15.853051876,0,1,1
15.853809072,0,1,0
15.856273046,0,0,0
16.323048802,0,0,1
16.323051626,0,1,1
16.323808822,0,1,0
16.326272796,0,0,0
16.793048550,0,0,1
16.793051374,0,1,1
16.793808570,0,1,0
16.796272546,0,0,0
17.263048296,0,0,1
17.263051120,0,1,1
17.263808316,0,1,0
17.266272290,0,0,0
17.733048040,0,0,1
17.733050864,0,1,1
17.733808060,0,1,0
17.736272034,0,0,0
18.203047780,0,0,1
18.203050604,0,1,1
18.203807800,0,1,0
18.206271774,0,0,0
18.673047518,0,0,1
18.673050342,0,1,1
18.673807538,0,1,0
18.676271512,0,0,0
19.143047254,0,0,1
19.143050078,0,1,1
19.143807274,0,1,0
19.146271248,0,0,0
19.613046986,0,0,1
19.613049812,0,1,1
19.613807008,0,1,0
19.616270980,0,0,0
20.083046718,0,0,1
