time_s,node,asn,src,err_ns
12.082100307000001,leaf,893,ack,-97000
21.485799044,leaf,1833,frame,95907
26.691608884,leaf,2350,ack,-53000
30.490824496000002,leaf,2726,frame,38412
39.895028691,leaf,3666,frame,14
41.696134873000005,leaf,3854,ack,0
49.297572887,leaf,4606,frame,51
56.797229757000004,leaf,5358,ack,0
57.197578543000006,leaf,5405,frame,-72
67.099897419,leaf,6392,frame,-104
71.802344621,leaf,6862,ack,0
75.102247718,leaf,7191,frame,-81
83.608792739,leaf,8037,frame,7
86.81154785800001,leaf,8366,ack,0
92.014240949,leaf,8883,frame,-102
100.915874881,leaf,9776,frame,7
101.91723790799999,leaf,9870,ack,0
110.82139596500001,leaf,10763,frame,16
116.92445647999999,leaf,11374,ack,0
119.326850569,leaf,11609,frame,-97
126.82930276900001,leaf,12361,frame,46
131.93348083799998,leaf,12878,ack,0
135.736542863,leaf,13254,frame,40
144.641199792,leaf,14147,frame,-92
147.040901297,leaf,14382,ack,0
154.047489525,leaf,15087,frame,13
162.051953362,leaf,15886,ack,0
163.95183693799999,leaf,16074,frame,52
171.452762013,leaf,16826,frame,37
177.054215137,leaf,17390,ack,0
180.355822733,leaf,17719,frame,-94
190.26097260400002,leaf,18706,frame,55
191.664939874,leaf,18847,ack,0
199.1642877,leaf,19599,frame,33
206.67236714799998,leaf,20351,ack,0
209.070473029,leaf,20586,frame,39
218.47670776200002,leaf,21526,frame,4
221.779070566,leaf,21855,ack,0
228.280863823,leaf,22513,frame,-100
235.885754124,leaf,23265,frame,37
236.78513642299998,leaf,23359,ack,0
245.290499899,leaf,24205,frame,3
251.793087447,leaf,24863,ack,0
254.69229213300002,leaf,25145,frame,8
262.598226076,leaf,25944,frame,21
266.900126907,leaf,26367,ack,0
270.601799872,leaf,26743,frame,-124
278.605144751,leaf,27542,frame,20
281.90640597199996,leaf,27871,ack,0
286.60855592200005,leaf,28341,frame,41
296.008629198,leaf,29281,frame,17
296.909812455,leaf,29375,ack,0
304.512586049,leaf,30127,frame,44
312.01734724799996,leaf,30879,ack,0
313.417957269,leaf,31020,frame,33
322.824072002,leaf,31960,frame,0
327.023799897,leaf,32383,ack,0
331.727285764,leaf,32853,frame,29
341.130235789,leaf,33793,frame,0
342.03037513,leaf,33887,ack,0
351.03660441000005,leaf,34780,frame,18
357.14103796300003,leaf,35391,ack,0
358.939754853,leaf,35579,frame,-73
366.945307732,leaf,36378,frame,60
371.647998391,leaf,36848,ack,0
375.950668888,leaf,37271,frame,-114
385.754758157,leaf,38258,frame,34
386.75687668300003,leaf,38352,ack,0
394.259560216,leaf,39104,frame,182
401.763945665,leaf,39856,ack,0
404.064173443,leaf,40091,frame,-117
412.070287614,leaf,40890,frame,-2
416.773426314,leaf,41360,ack,0
421.477587305,leaf,41830,frame,53
431.382066718,leaf,42817,frame,-106
431.883222356,leaf,42864,ack,0
439.38953947199997,leaf,43616,frame,16
446.893034171,leaf,44368,ack,0
448.793509247,leaf,44556,frame,58
457.69842255000003,leaf,45449,frame,6
461.89844336199997,leaf,45872,ack,0
465.200417124,leaf,46201,frame,16
475.102732913,leaf,47188,frame,29
477.001701572,leaf,47376,ack,0
484.90495864099995,leaf,48175,frame,13
492.010099513,leaf,48880,ack,0
494.810152137,leaf,49162,frame,-117
502.31105467099997,leaf,49914,frame,32
507.011742079,leaf,50384,ack,0
511.313521494,leaf,50807,frame,9
520.21703413,leaf,51700,frame,9
522.118097123,leaf,51888,ack,0
528.621863045,leaf,52546,frame,-101
537.129940187,leaf,53392,ack,0
538.530204541,leaf,53533,frame,49
547.434014552,leaf,54426,frame,132
551.735135884,leaf,54849,ack,0
555.934791196,leaf,55272,frame,-83
564.840342999,leaf,56165,frame,150
566.7411261990001,leaf,56353,ack,0
574.7426719130001,leaf,57152,frame,-67
581.745724974,leaf,57857,ack,0
582.7462278749999,leaf,57951,frame,44
592.551120269,leaf,58938,frame,0
596.854110933,leaf,59361,ack,0
601.956925335,leaf,59878,frame,-97
611.359603694,leaf,60818,frame,27
611.858306333,leaf,60865,ack,0
620.7648555100001,leaf,61758,frame,25
626.867216814,leaf,62369,ack,0
629.265823112,leaf,62604,frame,-94
637.6697250269999,leaf,63450,frame,14
641.97106915,leaf,63873,ack,0
645.6730210730001,leaf,64249,frame,13
654.1772098819999,leaf,65095,frame,-104
656.978699173,leaf,65377,ack,0
662.5839389629999,leaf,65941,frame,181
671.089356689,leaf,66787,frame,22
671.989179155,leaf,66881,ack,0
680.4952246299999,leaf,67727,frame,27
686.999745844,leaf,68385,ack,0
689.902275613,leaf,68667,frame,-97
698.805174708,leaf,69560,frame,12
702.107835096,leaf,69889,ack,0
707.711029261,leaf,70453,frame,0
715.713497974,leaf,71252,frame,44
717.113060661,leaf,71393,ack,0
723.719704561,leaf,72051,frame,39
732.121622352,leaf,72897,ack,0
739.2244276819999,leaf,73602,frame,-99
746.7310093809999,leaf,74354,ack,0
749.130934553,leaf,74589,frame,6
758.533649578,leaf,75529,frame,36
761.73652828,leaf,75858,ack,0
766.437546772,leaf,76328,frame,-79
774.042605157,leaf,77080,frame,155
776.845866406,leaf,77362,ack,0
783.8487324250001,leaf,78067,frame,-77
791.851404138,leaf,78866,ack,0
792.750367146,leaf,78960,frame,36
800.356216489,leaf,79712,frame,21
806.858103829,leaf,80370,ack,0
809.7607530969999,leaf,80652,frame,-100
819.161173706,leaf,81592,frame,30
821.961703873,leaf,81874,ack,0
826.6630399889999,leaf,82344,frame,5
836.463664676,leaf,83331,frame,-1
836.965189064,leaf,83378,ack,0
844.46965643,leaf,84130,frame,-96
851.976396753,leaf,84882,ack,0
853.376626607,leaf,85023,frame,140
861.8791369170001,leaf,85869,frame,5
867.081903088,leaf,86386,ack,0
870.781201262,leaf,86762,frame,-67
879.281996405,leaf,87608,frame,38
882.08338678,leaf,87890,ack,0
887.284963035,leaf,88407,frame,35
894.7881491930001,leaf,89159,frame,2
897.087813304,leaf,89394,ack,0
902.787762531,leaf,89958,frame,52
911.692006043,leaf,90851,ack,0
912.192756764,leaf,90898,frame,-112
921.0960816930001,leaf,91791,frame,29
926.6999044,leaf,92355,ack,0
930.001479121,leaf,92684,frame,57
937.5078407359999,leaf,93436,frame,1
941.809611859,leaf,93859,ack,0
946.510812434,leaf,94329,frame,-85
954.915159016,leaf,95175,frame,145
956.818096841,leaf,95363,ack,0
963.423559116,leaf,96021,frame,-72
971.826200031,leaf,96867,ack,0
972.826012141,leaf,96961,frame,16
982.232236207,leaf,97901,frame,20
986.9332216160001,leaf,98371,ack,0
991.635750815,leaf,98841,frame,2
1000.540118077,leaf,99734,frame,37
1001.940853597,leaf,99875,ack,0
1009.944520893,leaf,100674,frame,4
1016.946658246,leaf,101379,ack,0
1019.846106266,leaf,101661,frame,-91
1028.746852945,leaf,102554,frame,35
1032.046309666,leaf,102883,ack,0
1038.647658609,leaf,103541,frame,45
1047.055307564,leaf,104387,ack,0
1048.455943585,leaf,104528,frame,32
1057.360265305,leaf,105421,frame,28
1062.062167755,leaf,105891,ack,0
1066.362036878,leaf,106314,frame,7
1075.7653177779998,leaf,107254,frame,-72
1076.667396993,leaf,107348,ack,0
1083.267545936,leaf,108006,frame,4
1091.67508785,leaf,108852,ack,0
1092.174386489,leaf,108899,frame,17
1100.176899035,leaf,109698,frame,-103
1106.779562769,leaf,110356,ack,0
1109.081173421,leaf,110591,frame,19
1117.585288064,leaf,111437,frame,6
1121.7880653339998,leaf,111860,ack,0
1127.390342666,leaf,112424,frame,43
1137.299714411,leaf,113411,ack,0
1145.805783179,leaf,114257,frame,-72
1151.908725107,leaf,114868,ack,0
1155.210986627,leaf,115197,frame,148
1163.617147488,leaf,116043,frame,46
1166.920501637,leaf,116372,ack,0
1171.620995479,leaf,116842,frame,29
1180.027370965,leaf,117688,frame,-85
1181.929654089,leaf,117876,ack,0
1189.030467528,leaf,118581,frame,23
1196.533505504,leaf,119333,frame,38
1197.034450353,leaf,119380,ack,0
1205.938188563,leaf,120273,frame,-79
1212.0411081379998,leaf,120884,ack,0
1215.8423785109999,leaf,121260,frame,26
1223.3460321539999,leaf,122012,frame,29
1227.0471295070001,leaf,122388,ack,0
1233.150029166,leaf,122999,frame,-90
1242.551077809,leaf,123939,ack,0
1251.55303808,leaf,124832,frame,147
1256.658628667,leaf,125349,ack,0
1259.959561775,leaf,125678,frame,-68
1269.359927501,leaf,126618,frame,52
1271.760883348,leaf,126853,ack,0
1277.363667075,leaf,127417,frame,3
1286.2666026610002,leaf,128310,frame,21
1286.766036509,leaf,128357,ack,0
1294.7723635,leaf,129156,frame,-80
1301.775401544,leaf,129861,ack,0
1302.7758493659999,leaf,129955,frame,5
1312.581438878,leaf,130942,frame,24
1316.883885766,leaf,131365,ack,0
1322.48625391,leaf,131929,frame,10
1332.7900844370001,leaf,132963,ack,0
1341.79428475,leaf,133856,frame,14
1346.898815253,leaf,134373,ack,0
1351.6028106780002,leaf,134843,frame,138
1359.607581836,leaf,135642,frame,-117
1362.007484142,leaf,135877,ack,0
1369.012524435,leaf,136582,frame,47
1376.5172633700001,leaf,137334,frame,32
1377.017546385,leaf,137381,ack,0
1384.5173932779999,leaf,138133,frame,-74
1392.0179196299998,leaf,138885,ack,0
1394.418060019,leaf,139120,frame,5
1403.8209012450002,leaf,140060,frame,38
1407.122528852,leaf,140389,ack,0
1412.226817731,leaf,140906,frame,38
1421.231162627,leaf,141799,frame,-66
1422.1331345540002,leaf,141893,ack,0
1428.7345391029999,leaf,142551,frame,-88
1436.739306511,leaf,143350,ack,0
1438.540091365,leaf,143538,frame,140
1446.5495026469998,leaf,144337,frame,-70
1451.7538625030002,leaf,144854,ack,0
1455.455171731,leaf,145230,frame,-107
1464.860214164,leaf,146170,frame,180
1466.761704747,leaf,146358,ack,0
1473.3649469620002,leaf,147016,frame,-87
1482.767866438,leaf,147956,ack,0
1490.272503372,leaf,148708,frame,148
1496.876294295,leaf,149366,ack,0
1499.180138873,leaf,149601,frame,-115
1507.6841792540001,leaf,150447,frame,30
1511.88608858,leaf,150870,ack,0
1517.487985599,leaf,151434,frame,-1
1526.8937596990002,leaf,152374,ack,0
1527.394363422,leaf,152421,frame,14
1535.902124928,leaf,153267,frame,41
1542.007596794,leaf,153878,ack,0
1543.407300612,leaf,154019,frame,12
1552.8140042950001,leaf,154959,frame,35
1557.0183818290002,leaf,155382,ack,0
1562.223222477,leaf,155899,frame,-105
1570.225578343,leaf,156698,frame,2
1572.0280675309998,leaf,156886,ack,0
1579.530678299,leaf,157638,frame,32
1587.136559836,leaf,158390,ack,0
1588.0373553460001,leaf,158484,frame,-91
1596.043938545,leaf,159283,frame,123
1602.1477949530001,leaf,159894,ack,0
1604.047866203,leaf,160082,frame,2
1612.051554402,leaf,160881,frame,-74
1616.755867118,leaf,161351,ack,0
1621.859978622,leaf,161868,frame,11
1630.768684414,leaf,162761,frame,18
1631.769569194,leaf,162855,ack,0
1639.271718879,leaf,163607,frame,22
1646.7772299790001,leaf,164359,ack,0
1648.678647353,leaf,164547,frame,32
1656.6824333860002,leaf,165346,frame,5
1661.7877220560001,leaf,165863,ack,0
1664.6888167099999,leaf,166145,frame,39
1673.593877336,leaf,167038,frame,-2
1676.894466361,leaf,167367,ack,0
1682.994578395,leaf,167978,frame,27
1691.400106048,leaf,168824,frame,-124
1691.900517772,leaf,168871,ack,0
1699.4014749980001,leaf,169623,frame,2
1706.902677808,leaf,170375,ack,0
1707.404220281,leaf,170422,frame,48
1715.908956912,leaf,171268,frame,27
1722.010603988,leaf,171879,ack,0
1724.309518775,leaf,172114,frame,9
1732.815817989,leaf,172960,frame,-350
1737.01878319,leaf,173383,ack,-1000
1742.6208120840001,leaf,173947,frame,-583
1751.626139313,leaf,174840,frame,-68
1752.0256703510001,leaf,174887,ack,0
1760.5314211480002,leaf,175733,frame,50
1767.134014364,leaf,176391,ack,0
1769.935498373,leaf,176673,frame,-110
1779.843152613,leaf,177660,frame,137
1782.1457441070002,leaf,177895,ack,0
1789.6489794989998,leaf,178647,frame,-80
1796.752444313,leaf,179352,ack,0
1799.052368266,leaf,179587,frame,30
1808.955638882,leaf,180574,frame,-69
1811.757736141,leaf,180856,ack,0
1817.360752993,leaf,181420,frame,46
1825.3644376089999,leaf,182219,frame,5
1826.765978134,leaf,182360,ack,0
1833.368893683,leaf,183018,frame,-83
1841.870711148,leaf,183864,ack,0
1843.2714287990002,leaf,184005,frame,129
1852.1745372589999,leaf,184898,frame,-82
1856.877158767,leaf,185368,ack,0
1861.078380011,leaf,185791,frame,5
1870.480734736,leaf,186731,frame,26
1871.8803404290002,leaf,186872,ack,0
1878.482633103,leaf,187530,frame,-78
1886.987615442,leaf,188376,ack,0
1887.888328453,leaf,188470,frame,27
1897.2952783019998,leaf,189410,frame,34
1901.996414686,leaf,189880,ack,0
1906.700727569,leaf,190350,frame,-94
1915.607351445,leaf,191243,frame,128
1917.007270179,leaf,191384,ack,0
1923.1061771720001,leaf,191995,frame,22
1932.1132374009999,leaf,192888,ack,0
1933.012923286,leaf,192982,frame,51
1941.9187735790001,leaf,193875,frame,-77
1947.122938352,leaf,194392,ack,0
1950.424599793,leaf,194721,frame,12
1959.831359268,leaf,195661,frame,-111
1961.732462058,leaf,195849,ack,0
1969.240636242,leaf,196601,frame,30
1976.745208051,leaf,197353,ack,0
1978.646818216,leaf,197541,frame,30
1988.451361729,leaf,198528,frame,44
1991.752754003,leaf,198857,ack,0
1997.357321271,leaf,199421,frame,57
2005.860345278,leaf,200267,frame,-102
2006.761285247,leaf,200361,ack,0
2014.76339978,leaf,201160,frame,52
2021.8649337190002,leaf,201865,ack,0
2022.764619521,leaf,201959,frame,-1
2030.264732832,leaf,202711,frame,17
2036.865996464,leaf,203369,ack,0
2039.66908314,leaf,203651,frame,9
2048.175472479,leaf,204497,frame,-2
2051.976273394,leaf,204873,ack,0
2057.577625996,leaf,205437,frame,10
2066.47973004,leaf,206330,frame,48
2066.980657221,leaf,206377,ack,0
2075.8810403489997,leaf,207270,frame,-110
2081.981697883,leaf,207881,ack,0
2084.381668356,leaf,208116,frame,19
2092.382349806,leaf,208915,frame,39
2097.087273647,leaf,209385,ack,0
2101.789798364,leaf,209855,frame,10
2110.191335101,leaf,210701,frame,16
2112.091254475,leaf,210889,ack,0
2117.692114494,leaf,211453,frame,3
2127.598497776,leaf,212440,ack,0
2135.604151141,leaf,213239,frame,6
2141.708338508,leaf,213850,ack,0
2143.608256632,leaf,214038,frame,-77
2151.61220029,leaf,214837,frame,45
2156.7192307930004,leaf,215354,ack,0
2160.0187310680003,leaf,215683,frame,56
2167.522831419,leaf,216435,frame,13
2171.823237724,leaf,216858,ack,0
2176.925134019,leaf,217375,frame,0
2185.428216234,leaf,218221,frame,-73
2186.827464385,leaf,218362,ack,0
2193.4310878499996,leaf,219020,frame,51
2201.8355795459997,leaf,219866,ack,0
2202.835220257,leaf,219960,frame,49
2210.335229638,leaf,220712,frame,-113
2216.9425301180004,leaf,221370,ack,0
2219.743781877,leaf,221652,frame,2
2228.149515947,leaf,222498,frame,56
2231.9530843770003,leaf,222874,ack,0
2236.154762141,leaf,223297,frame,45
2244.657022691,leaf,224143,frame,-72
2246.9583446780002,leaf,224378,ack,0
2254.4596416000004,leaf,225130,frame,40
2262.060722126,leaf,225882,ack,0
2263.862541966,leaf,226070,frame,-66
2272.37000614,leaf,226916,frame,18
2277.071963802,leaf,227386,ack,0
2282.27280307,leaf,227903,frame,44
2291.1767767039996,leaf,228796,frame,33
2292.076589686,leaf,228890,ack,0
2300.0807856720003,leaf,229689,frame,12
2307.182881759,leaf,230394,ack,0
2308.982951099,leaf,230582,frame,-93
2318.38364634,leaf,231522,frame,141
2321.689684371,leaf,231851,ack,0
2326.3910387829997,leaf,232321,frame,16
2335.300854166,leaf,233214,frame,24
2336.7018202960003,leaf,233355,ack,0
2342.906314025,leaf,233966,frame,-85
2351.809774451,leaf,234859,ack,0
2352.708537434,leaf,234953,frame,31
2361.612388943,leaf,235846,frame,1
2366.81408467,leaf,236363,ack,0
2371.017297725,leaf,236786,frame,49
2380.020582965,leaf,237679,frame,-109
2381.819893471,leaf,237867,ack,0
2388.421866285,leaf,238525,frame,51
2396.9230848360003,leaf,239371,ack,0
2397.8226112350003,leaf,239465,frame,51
2407.227090142,leaf,240405,frame,-81
2411.928908929,leaf,240875,ack,0
2415.227946086,leaf,241204,frame,21
2424.632086535,leaf,242144,frame,-80
2427.031986252,leaf,242379,ack,0
2433.13458121,leaf,242990,frame,50
2442.036599012,leaf,243883,ack,0
2442.536063701,leaf,243930,frame,56
2452.341903943,leaf,244917,frame,21
2457.041009397,leaf,245387,ack,0
2460.341136221,leaf,245716,frame,23
2468.3449371230004,leaf,246515,frame,8
2472.1463320109997,leaf,246891,ack,0
2478.249909844,leaf,247502,frame,13
2486.252709788,leaf,248301,frame,20
2487.152454896,leaf,248395,ack,0
2496.058318613,leaf,249288,frame,-127
2501.761993945,leaf,249852,ack,0
2505.4661294780003,leaf,250228,frame,39
2513.4733111709998,leaf,251027,frame,3
2516.776688161,leaf,251356,ack,0
2521.480876239,leaf,251826,frame,25
2530.887051812,leaf,252766,frame,41
2531.786625212,leaf,252860,ack,0
2539.2905070079996,leaf,253612,frame,-95
2546.7936768880004,leaf,254364,ack,0
2547.292935952,leaf,254411,frame,14
2556.19551817,leaf,255304,frame,24
2561.896988002,leaf,255868,ack,0
2566.099768475,leaf,256291,frame,17
2575.0001626929998,leaf,257184,frame,9
2576.899860679,leaf,257372,ack,0
2584.005039099,leaf,258077,frame,13
2592.00445396,leaf,258876,ack,0
2592.904942026,leaf,258970,frame,12
2600.908339928,leaf,259769,frame,4
2607.009707637,leaf,260380,ack,0
2610.312002127,leaf,260709,frame,-81
2618.716125656,leaf,261555,frame,52
2622.0183346040003,leaf,261884,ack,0
2627.719008353,leaf,262448,frame,-70
2635.223914274,leaf,263200,frame,48
2637.126332051,leaf,263388,ack,0
2645.032502474,leaf,264187,frame,-101
2652.1326378109998,leaf,264892,ack,0
2654.032880088,leaf,265080,frame,138
2663.833765706,leaf,266067,frame,9
2667.13551578,leaf,266396,ack,0
2671.436170649,leaf,266819,frame,0
2679.838041844,leaf,267665,frame,-88
2681.7394325799996,leaf,267853,ack,0
2688.744269645,leaf,268558,frame,21
2697.2498542360004,leaf,269404,ack,0
2705.253309014,leaf,270203,frame,138
2711.858012827,leaf,270861,ack,0
2714.658966254,leaf,271143,frame,-96
2723.569067345,leaf,272036,frame,17
2726.872059919,leaf,272365,ack,0
2733.4749370249997,leaf,273023,frame,56
