time_s,node,asn,src,err_ns
13.56199159,leaf,1010,frame,-142000
20.632033795999998,leaf,1717,ack,111000
23.662086705,leaf,2020,frame,0
33.763147529,leaf,3030,frame,1000
35.782149135,leaf,3232,ack,1000
43.863207811,leaf,4040,frame,1000
50.933277267,leaf,4747,ack,1000
53.96329401,leaf,5050,frame,0
64.063369708,leaf,6060,frame,0
66.083379231,leaf,6262,ack,0
74.16345474,leaf,7070,frame,0
80.223493976,leaf,7676,ack,1000
84.26353227300001,leaf,8080,frame,0
94.36362943,leaf,9090,frame,1000
95.37361256599999,leaf,9191,ack,0
104.46468816999999,leaf,10100,frame,-1000
110.523707031,leaf,10706,ack,0
113.554742524,leaf,11009,frame,0
123.654819764,leaf,12019,frame,0
125.67487395399999,leaf,12221,ack,0
133.75488429700002,leaf,13029,frame,-1000
140.82494183600002,leaf,13736,ack,0
143.85497386999998,leaf,14039,frame,1000
153.95506694399998,leaf,15049,frame,0
155.975061342,leaf,15251,ack,1000
164.05513072600002,leaf,16059,frame,1000
171.125212307,leaf,16766,ack,1000
174.15518505,leaf,17069,frame,1000
184.256308541,leaf,18079,frame,0
185.265295094,leaf,18180,ack,0
194.356355364,leaf,19089,frame,0
200.41638655900002,leaf,19695,ack,0
204.45648306299998,leaf,20099,frame,0
213.546502167,leaf,21008,frame,0
215.566525774,leaf,21210,ack,0
223.646566616,leaf,22018,frame,-1000
230.716623739,leaf,22725,ack,0
233.74666902299998,leaf,23028,frame,1000
243.84672597199997,leaf,24038,frame,-1000
245.86674137,leaf,24240,ack,-1000
253.947797921,leaf,25048,frame,0
261.017875627,leaf,25755,ack,0
264.04790153700003,leaf,26058,frame,-1000
274.14796711,leaf,27068,frame,1000
275.15795783000004,leaf,27169,ack,0
284.24804580899996,leaf,28078,frame,-1000
290.30808417,leaf,28684,ack,0
294.348116092,leaf,29088,frame,1000
304.44823566499997,leaf,30098,frame,-1000
305.458184427,leaf,30199,ack,0
313.538268728,leaf,31007,frame,1000
320.60835213800004,leaf,31714,ack,2000
323.63934237899997,leaf,32017,frame,1000
333.73941532099997,leaf,33027,frame,1000
335.759434343,leaf,33229,ack,1000
343.839498097,leaf,34037,frame,0
350.909548756,leaf,34744,ack,0
353.939563831,leaf,35047,frame,0
364.039643148,leaf,36057,frame,0
366.059656253,leaf,36259,ack,0
374.13973621499997,leaf,37067,frame,-1000
380.199764405,leaf,37673,ack,-1000
384.23978399099997,leaf,38077,frame,0
394.340891141,leaf,39087,frame,0
395.349887861,leaf,39188,ack,1000
404.44097962499995,leaf,40097,frame,1000
410.50101552399997,leaf,40703,ack,1000
413.531013556,leaf,41006,frame,1000
423.631113165,leaf,42016,frame,-1000
425.65110697899996,leaf,42218,ack,0
433.731211983,leaf,43026,frame,1000
440.801224101,leaf,43733,ack,1000
443.831242217,leaf,44036,frame,0
453.931325701,leaf,45046,frame,0
455.951330556,leaf,45248,ack,0
464.031409476,leaf,46056,frame,1000
471.101451177,leaf,46763,ack,1000
474.132500418,leaf,47066,frame,0
484.232553777,leaf,48076,frame,0
485.24258558,leaf,48177,ack,0
494.332623844,leaf,49086,frame,1000
500.39267741,leaf,49692,ack,1000
504.432707912,leaf,50096,frame,1000
513.522765551,leaf,51005,frame,0
515.5427811980001,leaf,51207,ack,1000
523.62286041,leaf,52015,frame,1000
530.692913362,leaf,52722,ack,1000
533.722938353,leaf,53025,frame,1000
543.824018003,leaf,54035,frame,0
545.843014025,leaf,54237,ack,1000
553.924104404,leaf,55045,frame,0
560.994147813,leaf,55752,ack,0
564.0241789290001,leaf,56055,frame,1000
574.1242411220001,leaf,57065,frame,0
576.144254102,leaf,57267,ack,0
584.224311522,leaf,58075,frame,-1000
590.284365879,leaf,58681,ack,-1000
594.3244232139999,leaf,59085,frame,0
604.424461948,leaf,60095,frame,0
605.4344812930001,leaf,60196,ack,0
613.515527421,leaf,61004,frame,-1000
