Timestamp(ms),Current(uA)
67916.15,11.485
67916.16,11.618
67916.17,11.441
67916.18,11.441
67916.19,11.485
67916.2,11.441
67916.21,11.485
67916.22,11.353
67916.23,11.441
67916.24,11.309
67916.25,11.265
67916.26,11.309
67916.27,11.309
67916.28,11.089
67916.29,11.089
67916.3,11.221
67916.31,11.221
67916.32,11.309
67916.33,11.089
67916.34,11.133
67916.35,11.045
67916.36,11.001
67916.37,11.001
67916.38,11.001
67916.39,11.045
67916.4,10.869
67916.41,10.913
67916.42,11.089
67916.43,10.913
67916.44,10.957
67916.45,10.957
67916.46,10.957
67916.47,10.957
67916.48,11.001
67916.49,10.913
67916.5,10.869
67916.51,10.869
67916.52,10.913
67916.53,10.693
67916.54,10.913
67916.55,11.001
67916.56,10.913
67916.57,10.957
67916.58,10.913
67916.59,10.693
67916.6,10.869
67916.61,10.649
67916.62,10.649
67916.63,10.605
67916.64,10.693
67916.65,10.649
67916.66,10.384
67916.67,10.384
67916.68,10.473
67916.69,10.473
67916.7,10.473
67916.71,10.429
67916.72,10.429
67916.73,10.296
67916.74,10.429
67916.75,10.429
67916.76,10.208
67916.77,10.208
67916.78,10.252
67916.79,10.296
67916.8,10.208
67916.81,10.208
67916.82,10.120
67916.83,10.164
67916.84,10.032
67916.85,9.988
67916.86,9.900
67916.87,10.032
67916.88,9.856
67916.89,9.856
67916.9,9.856
67916.91,10.032
67916.92,9.944
67916.93,10.032
67916.94,9.944
67916.95,10.032
67916.96,10.120
67916.97,10.032
67916.98,9.988
67916.99,9.812
67917,9.856
67917.01,9.768
67917.02,9.900
67917.03,15.097
67917.04,16.770
67917.05,16.946
67917.06,16.814
67917.07,17.035
67917.08,16.946
67917.09,16.902
67917.1,16.726
67917.11,16.726
67917.12,16.902
67917.13,16.902
67917.14,16.946
67917.15,16.638
67917.16,16.682
67917.17,16.638
67917.18,16.682
67917.19,16.638
67917.2,16.594
67917.21,16.550
67917.22,16.550
67917.23,16.154
67917.24,16.506
67917.25,16.330
67917.26,16.330
67917.27,16.330
67917.28,16.154
67917.29,16.286
67917.3,16.154
67917.31,16.374
67917.32,16.286
67917.33,16.242
67917.34,16.330
67917.35,16.286
67917.36,16.330
67917.37,16.286
67917.38,16.242
67917.39,16.242
67917.4,16.154
67917.41,16.110
67917.42,15.889
67917.43,15.801
67917.44,15.889
67917.45,15.889
67917.46,15.757
67917.47,15.713
67917.48,15.801
67917.49,15.625
67917.5,15.537
67917.51,15.625
67917.52,15.405
67917.53,15.581
67917.54,15.449
67917.55,15.537
67917.56,15.669
67917.57,15.537
67917.58,15.317
67917.59,15.317
67917.6,15.185
67917.61,15.273
67917.62,15.141
67917.63,15.317
67917.64,15.141
67917.65,15.009
67917.66,15.097
67917.67,15.185
67917.68,15.317
67917.69,15.185
67917.7,15.141
67917.71,15.141
67917.72,15.053
67917.73,15.053
67917.74,15.097
67917.75,14.921
67917.76,15.009
67917.77,15.097
67917.78,15.097
67917.79,15.053
67917.8,14.965
67917.81,14.788
67917.82,15.053
67917.83,15.009
67917.84,14.833
67917.85,15.009
67917.86,14.833
67917.87,14.788
67917.88,14.700
67917.89,14.612
67917.9,14.568
67917.91,14.612
67917.92,14.612
67917.93,14.524
67917.94,14.612
67917.95,14.524
67917.96,14.656
67917.97,14.656
67917.98,14.524
67917.99,14.436
67918,14.480
67918.01,14.656
67918.02,14.524
67918.03,14.744
67918.04,14.612
67918.05,14.656
67918.06,14.833
67918.07,14.436
67918.08,14.524
67918.09,14.392
67918.1,14.392
67918.11,14.260
67918.12,14.524
67918.13,14.392
67918.14,14.480
67918.15,14.480
67918.16,14.260
67918.17,14.172
67918.18,14.172
67918.19,14.084
67918.2,14.040
67918.21,14.128
67918.22,14.084
67918.23,13.908
67918.24,14.128
67918.25,14.084
67918.26,13.820
67918.27,13.820
67918.28,13.732
67918.29,13.864
67918.3,13.776
67918.31,13.643
67918.32,13.687
67918.33,13.643
67918.34,13.467
67918.35,13.599
67918.36,13.599
67918.37,13.511
67918.38,13.511
67918.39,13.467
67918.4,13.379
67918.41,13.687
67918.42,13.555
67918.43,13.687
67918.44,13.511
67918.45,13.555
67918.46,13.511
67918.47,13.599
67918.48,13.687
67918.49,13.291
67918.5,13.247
67918.51,13.379
67918.52,13.379
67918.53,13.379
67918.54,13.335
67918.55,13.423
67918.56,13.467
67918.57,13.467
67918.58,13.423
67918.59,13.247
67918.6,13.379
67918.61,13.247
67918.62,13.291
