Timestamp(ms),Current(uA)
49528.79,11.221
49528.8,11.133
49528.81,11.309
49528.82,11.133
49528.83,11.133
49528.84,11.177
49528.85,11.133
49528.86,11.089
49528.87,11.133
49528.88,11.045
49528.89,11.089
49528.9,11.309
49528.91,11.221
49528.92,11.221
49528.93,11.089
49528.94,11.001
49528.95,11.133
49528.96,11.045
49528.97,11.133
49528.98,11.045
49528.99,11.089
49529,11.133
49529.01,11.177
49529.02,11.177
49529.03,11.133
49529.04,11.045
49529.05,10.957
49529.06,11.089
49529.07,10.913
49529.08,11.045
49529.09,11.001
49529.1,11.045
49529.11,10.913
49529.12,10.825
49529.13,10.825
49529.14,10.869
49529.15,10.693
49529.16,10.781
49529.17,10.649
49529.18,10.561
49529.19,10.473
49529.2,10.649
49529.21,10.561
49529.22,10.561
49529.23,10.473
49529.24,10.340
49529.25,10.605
49529.26,10.429
49529.27,10.517
49529.28,10.164
49529.29,10.517
49529.3,10.252
49529.31,10.384
49529.32,10.296
49529.33,10.340
49529.34,10.164
49529.35,10.120
49529.36,10.076
49529.37,10.120
49529.38,9.944
49529.39,9.988
49529.4,9.856
49529.41,9.988
49529.42,10.032
49529.43,10.076
49529.44,10.208
49529.45,10.032
49529.46,10.076
49529.47,10.076
49529.48,10.032
49529.49,10.120
49529.5,10.032
49529.51,10.120
49529.52,10.076
49529.53,9.856
49529.54,10.032
49529.55,15.141
49529.56,16.770
49529.57,16.946
49529.58,16.858
49529.59,16.814
49529.6,16.770
49529.61,16.814
49529.62,16.858
49529.63,16.770
49529.64,16.726
49529.65,16.682
49529.66,16.726
49529.67,16.638
49529.68,16.330
49529.69,16.374
49529.7,16.374
49529.71,16.242
49529.72,16.286
49529.73,16.198
49529.74,16.286
49529.75,16.374
49529.76,16.242
49529.77,16.154
49529.78,16.198
49529.79,16.286
49529.8,16.242
49529.81,16.198
49529.82,16.242
49529.83,16.198
49529.84,16.330
49529.85,16.506
49529.86,16.374
49529.87,16.242
49529.88,16.330
49529.89,16.198
49529.9,16.110
49529.91,16.242
49529.92,16.198
49529.93,16.154
49529.94,16.198
49529.95,16.066
49529.96,16.022
49529.97,16.022
49529.98,15.934
49529.99,15.978
49530,15.801
49530.01,15.757
49530.02,15.889
49530.03,15.978
49530.04,16.022
49530.05,15.934
49530.06,15.889
49530.07,15.845
49530.08,15.669
49530.09,15.669
49530.1,15.625
49530.11,15.537
49530.12,15.493
49530.13,15.537
49530.14,15.493
49530.15,15.537
49530.16,15.361
49530.17,15.361
49530.18,15.405
49530.19,15.449
49530.2,15.537
49530.21,15.273
49530.22,15.185
49530.23,15.317
49530.24,15.185
49530.25,15.097
49530.26,14.965
49530.27,15.273
49530.28,15.361
49530.29,15.361
49530.3,15.317
49530.31,15.273
49530.32,15.053
49530.33,15.141
49530.34,14.965
49530.35,14.921
49530.36,15.009
49530.37,14.965
49530.38,14.877
49530.39,14.788
49530.4,14.612
49530.41,14.877
49530.42,14.788
49530.43,14.833
49530.44,14.833
49530.45,14.921
49530.46,14.921
49530.47,14.833
49530.48,14.833
49530.49,14.788
49530.5,14.656
49530.51,14.656
49530.52,14.568
49530.53,14.524
49530.54,14.524
49530.55,14.480
49530.56,14.480
49530.57,14.392
49530.58,14.304
49530.59,14.304
49530.6,14.392
49530.61,14.392
49530.62,14.260
49530.63,14.260
49530.64,14.304
49530.65,14.348
49530.66,14.260
49530.67,14.348
49530.68,14.480
49530.69,14.480
49530.7,14.436
49530.71,14.744
49530.72,14.656
49530.73,14.392
49530.74,14.436
49530.75,14.436
49530.76,14.392
49530.77,14.304
49530.78,14.348
49530.79,14.304
49530.8,14.392
49530.81,14.260
49530.82,14.348
49530.83,14.216
49530.84,14.128
49530.85,14.128
49530.86,13.908
49530.87,13.952
49530.88,13.820
49530.89,13.864
49530.9,13.952
49530.91,13.820
49530.92,13.864
